Title,Genre,Seasons,Runtime,Premiere,Status
The Mighty Ducks: Game Changers,Dramedy,"1 season, 10 episodes",TBA,Early 2021,TBA
Just Beyond,Horror comedy anthology,"1 season, 8 episodes",TBA,Late 2021,TBA
Big Shot,Dramedy,"1 season, 10 episodes",60 min.,2021,TBA
Turner & Hooch,Comedy,"1 season, 12 episodes",60 min.,2021,TBA
She-Hulk,Superhero comedy,TBA,30 min.,2022,TBA
Little Town,Comedy miniseries,6 episodes,TBA,TBA,TBA
