Title,Genre,Premiere,Seasons,Runtime,Status
High School Musical: The Musical: The Series,Musical/Mockumentary,"November 12, 2019","1 season, 10 episodes",26–34 min.,Renewed
Diary of a Future President,Comedy-drama,"January 17, 2020","1 season, 10 episodes",22–28 min.,Renewed
