Title,Genre,Seasons,Runtime,Premiere,Status
Monsters at Work,Fantasy,"1 season, 10 episodes",TBA,Early 2021,TBA
What If...?,Superhero anthology,"1 season, 10 episodes",TBA,Mid-2021,Renewed
Star Wars: The Bad Batch,Space opera,TBA,TBA,Mid-2021,TBA
Dug Days,Comedy,TBA,TBA,Late 2021,TBA
Chip N’ Dale,Comedy,"1 season, 39 episodes",7 min.,2021,TBA
Star Wars: Visions,Anime / Space opera anthology,"1 season, 10 episodes",TBA,2021,TBA
Baymax!,Comedy,TBA,TBA,Early 2022,TBA
Zootopia+,Comedy,TBA,TBA,Early 2022,TBA
Untitled Cars series,Comedy,TBA,TBA,Late 2022,TBA
Iwájú,Comedy,TBA,TBA,2022,TBA
Win or Lose,TBA,TBA,TBA,Late 2023,TBA
Moana,Musical,TBA,TBA,2023,TBA
Tiana ,Musical,TBA,TBA,2023,TBA
