Title,Genre,Premiere,Seasons,Runtime,Status
Muppets Now,Variety/puppetry,"July 31, 2020","1 season, 6 episodes",22–24 min.,Pending
Earth to Ned,Talk show/puppetry,"September 4, 2020","1 season, 20 episodes",30 min.,"Part 2 due to premiere on January 1, 2021"
