Title,Genre,Premiere,Seasons,Runtime,Status
Disney Family Sundays,DIY,"November 12, 2019","1 season, 40 episodes",5–8 min.,Ended
Encore!,Reality show,"November 12, 2019","1 season, 12 episodes",56–58 min.,Pending
Pixar in Real Life,Hidden camera reality,"November 12, 2019","1 season, 11 episodes",4–6 min.,Pending
Shop Class,Reality competition,"February 28, 2020","1 season, 8 episodes",59 min.,Pending
Be Our Chef,Cooking reality competition,"March 27, 2020","1 season, 11 episodes",29 min.,Pending
The Big Fib,Game show,"May 22, 2020","1 season, 30 episodes",21–25 min.,Pending
