Title,Genre,Seasons,Runtime,Premiere,Status
Loki[11],Superhero science fiction,"1 season, 6 episodes",TBA,May 2021[4],TBA
Hawkeye[12],Superhero action,TBA,TBA,Late 2021[4],TBA
Ms. Marvel[13],Coming-of-age superhero action,TBA,TBA,Late 2021[4],TBA
"Doogie Kameāloha, M.D.[14]",Medical drama,"1 season, 10 episodes",TBA,2021,TBA
The Mysterious Benedict Society[15],YA adventure drama,"1 season, 8 episodes",TBA,2021,TBA
Andor[4],Space opera,"1 season, 12 episodes",TBA,2022,TBA
Moon Knight[13][12],Superhero action,TBA,TBA,2022,TBA
Willow[16][4],Fantasy,TBA,TBA,2022,TBA
The Acolyte[4],Space opera/Mystery-thriller,TBA,TBA,TBA,TBA
Ahsoka[4],Space opera,TBA,TBA,TBA,TBA
Armor Wars[4],Superhero action,TBA,TBA,TBA,TBA
Ironheart[4],Superhero action,TBA,TBA,TBA,TBA
Lando[4],Space opera,TBA,TBA,TBA,TBA
Obi-Wan Kenobi[17],Space opera,"1 season, 6 episodes",TBA,TBA,TBA
Rangers of the New Republic[4],Space opera,TBA,TBA,TBA,TBA
Secret Invasion[18][4],Superhero action,TBA,TBA,TBA,TBA
