Title,Genre,Premiere,Seasons,Runtime,Status
Forky Asks a Question,Animation,"November 12, 2019","1 season, 10 episodes",3–4 min.,Pending
SparkShorts,Animation,"November 12, 2019","2 seasons, 7 episodes",7–12 min.,Season 2 ongoing
Short Circuit,Animation,"January 24, 2020","1 season, 14 episodes",5–7 min.,Pending
Zenimation,Animation/ASMR,"May 22, 2020","1 season, 11 episodes",5–49 min.,Pending
The Wonderful World of Mickey Mouse,Animation,"November 18, 2020","1 season, 20 episodes",8 min.,Part 2 of Season 1 to release in 2021
Awaiting release,Awaiting release,Awaiting release,Awaiting release,Awaiting release,Awaiting release
Pixar Popcorn,Animation,"January 22, 2021[6]",TBA,TBA,Pending
