Title,Genre,Premiere,Seasons,Runtime
Schmigadoon!,Musical comedy,2021,"1 season, 8 episodes",TBA
Acapulco,Comedy,TBA,TBA,30 min.
The Afterparty,Mystery comedy,TBA,"1 season, 8 episodes",TBA
High Desert,Comedy,TBA,TBA,30 min.
Mr. Corman,Comedy-drama,TBA,TBA,30 min.
Physical,Comedy-drama,TBA,TBA,TBA
Platonic,Comedy,TBA,"1 season, 10 episodes",30 min.
The Shrink Next Door,Dark comedy miniseries,TBA,8 episodes,TBA
