Title,Genre,Premiere,Seasons,Runtime,Status
For All Mankind,Alternate history,"November 1, 2019","1 season, 10 episodes",48–76 min.,"Season 2 due to premiere on February 19, 2021;[8] Renewed[9]"
The Morning Show,Drama,"November 1, 2019","1 season, 10 episodes",50–69 min.,Renewed[10]
See,Science fiction,"November 1, 2019","1 season, 8 episodes",49–57 min.,Renewed[10]
Servant,Psychological thriller,"November 28, 2019","1 season, 10 episodes",29–36 min.,"Season 2 due to premiere on January 15, 2021;[11] Renewed[12]"
Truth Be Told,Legal drama,"December 6, 2019","1 season, 8 episodes",39–50 min.,Renewed[13]
Amazing Stories,Science fiction anthology,"March 6, 2020","1 season, 5 episodes",50 min.,Pending
Home Before Dark,Mystery drama,"April 3, 2020","1 season, 10 episodes",50 min.,Renewed[14]
Defending Jacob,Crime drama,"April 24, 2020",8 episodes,45–65 min.,Miniseries
