Title,Genre,Premiere,Seasons,Runtime,Status
Snoopy in Space,Adventure,"November 1, 2019","1 season, 12 episodes",10 min.,Renewed[20]
Doug Unplugs,Adventure,"November 13, 2020","1 season, 7 episodes",23 min.,Pending
Stillwater,Comedy,"December 4, 2020","1 season, 6 episodes",29 min.,Pending
Awaiting release,Awaiting release,Awaiting release,Awaiting release,Awaiting release,Awaiting release
The Snoopy Show[21],Comedy,"February 5, 2021",TBA,29 min.,Pending
