Title,Genre,Premiere,Seasons,Runtime,Status
Monsters at Work,Fantasy,"1 season, 10 episodes",TBA,Early 2021,TBA
What If...?,Superhero anthology,"1 season, 10 episodes",TBA,Summer 2021,TBA
Star Wars: The Bad Batch,Space opera,TBA,TBA,Mid 2021,TBA
Dug Days,Comedy,TBA,TBA,Fall 2021,TBA
Chip N’ Dale,Comedy,"1 season, 39 episodes",7 min.,2021,TBA
Star Wars: Visions,Anime / Space opera anthology,"1 season, 10 episodes",TBA,2021,TBA
Baymax!,Comedy,TBA,TBA,Early 2022,TBA
Zootopia+,Comedy,TBA,TBA,Spring 2022,TBA
Untitled Cars series,Comedy,TBA,TBA,Fall 2022,TBA
Iwájú,Comedy,TBA,TBA,2022,TBA
Win or Lose,TBA,TBA,TBA,Fall 2023,TBA
Moana,Musical,TBA,TBA,2023,TBA
Tiana ,Musical,TBA,TBA,2023,TBA
Vikingskool,TBA,"1 season, 26 episodes",TBA,TBA,TBA
Ink & Paint,Docuseries,TBA,TBA,TBA,TBA
America The Beautiful,Docuseries,TBA,TBA,TBA,TBA
A Real Bug’s Life,Docuseries,TBA,TBA,TBA,TBA
Limitless With Chris Hemsworth,Docuseries,TBA,TBA,TBA,TBA
Parenting Without Borders (working title),Travel show,TBA,TBA,TBA,TBA
Secret of the Whales,Docuseries,TBA,TBA,TBA,TBA
Earthkeepers (working title),Docuseries,TBA,TBA,TBA,TBA
Behind the Attraction,Docuseries,TBA,"1 season, 10 episodes",TBA,TBA
People & Places,Docuseries,TBA,TBA,TBA,TBA
Welcome to Earth (working title),Docuseries,TBA,TBA,TBA,TBA
(Re)Connect,Reality,TBA,TBA,TBA,TBA
The Maze,Reality competition,TBA,TBA,TBA,TBA
The Proud Family: Louder and Prouder (season 3),Animation/Comedy,Disney Channel,TBA,TBA,2021,TBA
Lizzie McGuire (season 3),Comedy,Disney Channel,TBA,TBA,TBA,TBA
The Quest (season 2),Reality/Gameshow,ABC,TBA,TBA,TBA,TBA
Genius (season 4),Anthology/biographical drama,National Geographic,TBA,TBA,TBA,TBA
The Biggest Star in Appleton,Comedy
Darkwing Duck,Animated action-adventure comedy
Explorer Academy,Realistic fiction
I Am Groot,Comedy-action
Life and Deaf,Comedy
Swiss Family Robinson,Survival adventure
The Night Market,TBA
Untitled The Sandlot series,Comedy
Untitled True Lies series,Comedy-action
Untitled National Treasure series,Action-adventure
Untitled Percy Jackson & the Olympians series,Fantasy
Untitled Kingdom Hearts series,Action
Untitled Rio spin-off,Comedy/Animation/Adventure
