Title,Genre,Premiere,Seasons,Runtime,Language,Status
Jack Whitehall: Travels with My Father,Travel documentary,"September 22, 2017","4 seasons, 15 episodes",28-61 min.,English,Pending
Somebody Feed Phil,Travel documentary,"January 12, 2018","4 seasons, 22 episodes",44-63 min.,English,Pending
Dirty Money,Documentary,"January 26, 2018","2 seasons, 12 episodes",50-77 min.,English,Pending
Ugly Delicious,Travel documentary,"February 23, 2018","2 seasons, 12 episodes",46-55 min.,English,Pending
Dogs,Docu-series,"November 16, 2018","1 season, 6 episodes",50-53 min.,English,Renewed
Sunderland 'Til I Die,Sport,"December 14, 2018","2 seasons, 14 episodes",30-53 min.,English,Pending
Formula 1: Drive to Survive,Sport,"March 8, 2019","2 seasons, 20 episodes",27-41 min.,English,Renewed
The Chef Show,Culinary art,"June 7, 2019","2 seasons, 25 episodes",26-34 min.,English,Pending
Taco Chronicles,Culinary art,"July 12, 2019","2 seasons, 13 episodes",24-33 min.,Spanish,Pending
Kevin Hart: Don't F**k This Up,Docu-series,"December 27, 2019","1 season, 6 episodes",25-36 min.,English,Pending
ARASHI's Diary -Voyage-,Docu-series,"December 31, 2019",20 episodes,18-44 min.,Japanese,Miniseries ongoing
Cheer,Docu-series,"January 8, 2020","1 season, 6 episodes",56-62 min.,English,Pending
Pandemic: How to Prevent an Outbreak,Docu-series,"January 22, 2020","1 season, 6 episodes",41-53 min.,English,Pending
Rise of Empires: Ottoman,Docudrama,"January 24, 2020","1 season, 6 episodes",45-47 min.,English,Pending
Babies,Docu-series,"February 21, 2020","2 parts, 12 episodes",46-54 min.,English,Pending
Absurd Planet,Nature documentary,"April 22, 2020","1 season, 12 episodes",19-20 min.,English,Pending
Trial by Media,Docu-series,"May 11, 2020","1 season, 6 episodes",57-64 min.,English,Pending
History 101,Docu-series,"May 22, 2020","1 season, 10 episodes",20-23 min.,English,Pending
Lenox Hill,Docu-series,"June 10, 2020","1 season, 9 episodes",31-53 min.,English,Pending
Home Game,Docu-series,"June 26, 2020","1 season, 8 episodes",22-36 min.,English,Pending
Down to Earth with Zac Efron,Docu-series,"July 10, 2020","1 season, 8 episodes",33-46 min.,English,Pending
The Business of Drugs,Docu-series,"July 14, 2020",6 episodes,38-46 min.,English,Miniseries
Street Food: Latin America,Docu-series,"July 21, 2020","1 season, 6 episodes",29-34 min.,English,Pending
Fear City: New York vs The Mafia,Docu-series,"July 22, 2020",3 episodes,44-62 min.,English,Miniseries
Connected,Docu-series,"August 2, 2020","1 season, 6 episodes",39-49 min.,English,Pending
Immigration Nation,Docu-series,"August 3, 2020",6 episodes,60-64 min.,English,Miniseries
World's Most Wanted,Docu-series,"August 5, 2020","1 season, 5 episodes",45-48 min.,French,Pending
Tiny Creatures,Nature documentary,"August 7, 2020","1 season, 8 episodes",24-25 min.,English,Pending
High Score,Docu-series,"August 19, 2020",6 episodes,37-47 min.,English,Miniseries
Chef's Table: BBQ,Culinary art,"September 2, 2020","1 volume, 4 episodes",42-47 min.,English,Pending
The Witcher: A Look Inside the Episodes,Making-of,"September 2, 2020","1 season, 8 episodes",5-7 min.,English,Pending
La Línea: Shadow of Narco,Docu-series,"September 9, 2020",4 episodes,29-37 min.,Spanish,Miniseries
Izzy's Koala World,Docu-series,"September 15, 2020","1 season, 8 episodes",14-18 min.,English,Renewed
Challenger: The Final Flight,Docu-series,"September 16, 2020",4 episodes,41-52 min.,English,Miniseries
The Playbook,Docu-series,"September 22, 2020","1 season, 5 episodes",31-35 min.,English,Pending
A Perfect Crime,Docu-series,"September 25, 2020",4 episodes,38-46 min.,German,Miniseries
"Whose Vote Counts, Explained",Docu-series,"September 28, 2020",3 episodes,24-25 min.,English,Miniseries
Song Exploder,Docu-series,"October 2, 2020","1 volume, 4 episodes",23-27 min.,English,"Volume 2 due to premiere on December 15, 2020"
Bad Boy Billionaires: India,Docu-series,"October 5, 2020","1 season, 3 episodes",52-64 min.,English,Pending
Deaf U,Coming-of-age documentary,"October 9, 2020","1 season, 8 episodes",16-21 min.,English,Pending
Move,Docu-series,"October 23, 2020","1 season, 5 episodes",47-59 min.,French,Pending
Carmel: Who Killed Maria Marta?,True crime,"November 5, 2020",4 episodes,55-60 min.,Spanish,Miniseries
Trial 4,Docu-series,"November 11, 2020",8 episodes,52-60 min.,English,Miniseries
Voices of Fire,Docu-series,"November 20, 2020","1 season, 6 episodes",31-42 min.,English,Pending
The Holiday Movies That Made Us,Docu-series,"December 1, 2020","1 season, 2 episodes",45 min.,English,Pending
Alien Worlds,Docu-series,"December 2, 2020","1 season, 4 episodes",41-47 min.,English,Pending
Room 2806: The Accusation,Docu-series,"December 7, 2020",4 episodes,44-63 min.,French,Miniseries
The Surgeon's Cut,Docu-series,"December 9, 2020","1 season, 4 episodes",51-58 min.,English,Pending
Anitta: Made In Honório,Docu-series,"December 16, 2020",TBA,TBA,Portuguese,Pending
BREAK IT ALL: The History of Rock in Latin America,Docu-series,"December 16, 2020",TBA,TBA,English,Miniseries
The Ripper,Docu-series,"December 16, 2020",TBA,TBA,English,Miniseries
Headspace Guide to Meditation,Docu-series,"January 1, 2021",TBA,TBA,English,Pending
History of Swear Words,Docu-series,"January 5, 2021","1 season, 6 episodes",20 min.,English,Pending
