Title,Genre,Language,Premiere
Das Hausboot[375],Reality television,German,2021
Haunted Latino[289],Reality television,Spanish,2021
Love is Blind Brazil[376],Reality show,Portuguese,2021
Queer Eye Brazil[377],Reality show,Portuguese,2021
Too Hot to Handle Brazil[376],Reality show,Portuguese,2021
All the Right Moves[378],Reality competition,TBA,TBA
Exatlon Challenge[101],Reality competition,Turkish,TBA
Jet Set[379],Reality competition,English,TBA
Rhythm + Flow Nouvelle Ecole[380],Music competition,French,TBA
Sparking Joy with Marie Kondo[121],Reality television,Japanese,TBA
The Date[379],Dating show,English,TBA
Untitled Julien Bam series[381],Reality television,German,TBA
