Title,Genre,Premiere
High-Rise Invasion,Anime/Horror,February 2021[231]
EDEN,Anime,May 2021[231]
Baki Hanma[232],Anime/Martial arts,2021[231]
Godzilla Singular Point[233],Anime,2021
Masters of the Universe: Revelation[234],Anime,2021
Pacific Rim: The Black[235],Anime/Mecha,2021;[236] Renewed[237]
RESIDENT EVIL: Infinite Darkness[238],CG animation/Anime/Horror,2021
SPRIGGAN[239],Anime/Science fiction,2021
Thus Spoke Kishibe Rohan,Anime,2021[231]
Trese[235],Anime/Fantasy,2021[231]
Vampire in the Garden[240],Anime,2021[231]
The Way of the Househusband,Anime/Comedy,2021[241]
Yasuke[235],Anime,2021[231]
Cyberpunk: Edgerunners[242],Anime/Science fiction,2022
Army of the Dead: Lost Vegas[243],Anime/Horror,TBA
Rilakkuma's Theme Park Adventure[244],Stop motion/Slice of life,TBA
Super Crooks[245],Anime,TBA
Thermae Romae Novae[231],Anime/Comedy,TBA
Untitled Norse mythology anime series[246],Anime,TBA
Untitled Splinter Cell anime series[247],Anime,TBA; Renewed
