Title,Genre,Premiere
"Ada Twist, Scientist[248]",Animation/Educational,2021
Angry Birds: Summer Madness[249],Animation,2021
DeadEndia[250],Animated horror comedy,2021
Go Dog Go[251],Animation,2021
I Heart Arlo[252],Animated musical comedy,2021
Kajko and Kokosz[253],Animated comedy,2021
Kid Cosmic[254][255],Animation,2021[256]
Maya and the Three[254],Animated miniseries,2021
Sharkdog[257],Animation,2021
Ken and Kenny[258],Animated comedy,2022
Untitled Sonic the Hedgehog series[259],Animation,2022
Battle Kitty[260],Animation/interactive fiction,TBA
Bone[261],Animation,TBA
Centaurworld[262][263],Animated musical comedy,TBA
Charlie and the Chocolate Factory[264][265],Animated miniseries,TBA
City of Ghosts[266],Animation,TBA
Dino Daycare[267],Animation,TBA
Ghee Happy[268],Animation,TBA
He-Man and the Masters of the Universe[269],Animation,TBA
Karma's World[270],Animation,TBA
Line Friends[271],Animation,TBA
Listen to Your Vegetables & Eat Your Parents[165],Animation,TBA
Mama K's Team 4[272],Animation,TBA
My Dad the Bounty Hunter[273],Animation/Comedy,TBA
Oggy Oggy[274],Animation,TBA
ONI[275],Hybrid CGI animation/Stop motion,TBA
Raise the Bar[276],Animation,TBA
Ridley Jones[267],Animation,TBA
Samurai Rabbit: The Usagi Chronicles[277],Animation/Action adventure,TBA
Spirit Rangers[267],Animation/Fantasy,TBA
The Cuphead Show![278],Animation,TBA
Untitled animated miniseries about the Oompa-Loompas[265],Animated miniseries,TBA
Untitled animated series from Chris Garbutt and Rikke Asbjoern[279],Animation,TBA
Untitled Ryan Quincy animated series[280],Animation,TBA
Untitled SpongeBob SquarePants spin-off series[281],Musical animation,TBA
Wonderoos,Animation,TBA[282][251]
