Title,Genre,Release date,Runtime
Diary of a Wimpy Kid,Animated comedy,2021,TBA
Night at the Museum: Kahmunrah Rises Again,Animated adventure comedy,2021,TBA
Sneakerella,Musical comedy,2021,TBA
Chip 'n Dale: Rescue Rangers,Live-action animated adventure comedy,Early 2022,TBA
The Ice Age Adventures of Buck Wild,Animated comedy,Early 2022,TBA
Cheaper by the Dozen,Comedy,2022,TBA
Three Men and a Baby,Comedy,2022,TBA
Aladdin: Live From The West End,Musical,TBA,"2 hours, 20 min."
Disenchanted,Fantasy,TBA,TBA
Greek Freak,Sports biopic,TBA,TBA
Hocus Pocus 2,Horror comedy,TBA,TBA
Home Alone,Comedy,TBA,TBA
The Keanon Lowe project,Sports biopic,TBA,TBA
Peter Pan & Wendy,Fantasy adventure,TBA,TBA
Pinocchio,Fantasy musical,TBA,TBA
Sister Act 3,Comedy,TBA,TBA
