Title,Genre,Release date,Runtime
Marvel Studios: Expanding the Universe,Documentary short,"November 12, 2019",12 min.
One Day at Disney,Documentary,"December 3, 2019","1 hour, 1 min."
Dolphin Reef,Nature documentary,"April 3, 2020","1 hour, 18 min."
Elephant,Nature documentary,"April 3, 2020","1 hour, 29 min."
Howard,Biographical documentary,"August 7, 2020","1 hour, 32 min."
Folklore: The Long Pond Studio Sessions,Music documentary,"November 25, 2020","1 hour, 46 min."
