Title,Genre,Release date,Runtime
Artemis Fowl,Fantasy adventure,"June 12, 2020","1 hour, 35 min."
Hamilton,Musical,"July 3, 2020","2 hours, 40 min."
The One and Only Ivan,Fantasy drama,"August 21, 2020","1 hour, 35 min."
Soul,Animated comedy,"December 25, 2020","1 hour, 40 min."
