Title,Genre,Premiere,Seasons/episodes,Language,Status
The Idolmaster KR,Musical drama,"April 28, 2017","1 season, 24 episodes",Korean,Ended
Gangstars,Crime drama,"June 1, 2018","1 season, 12 episodes",Telugu,Ended
Vella Raja,Crime drama,"December 2, 2018","1 season, 10 episodes",Tamil,Ended
