Title,Genre,Original broadcaster,Country,Prime Video exclusive region,Seasons,Language,Original run
De viaje con los Derbez,Documentary/Comedy,Pantaya,United States,Worldwide except United States and Puerto Rico[197],"1 season, 8 episodes",Spanish,2019
The Bureau,Political thriller,Canal+,France,United Kingdom and Ireland,"3 seasons, 20 episodes",French,2015–
