Title,Genre,Original broadcaster,Country,Prime Video exclusive region,Seasons,Language,Original run
Bookaboo,Children's,CITV,United Kingdom,United States and Japan,"1 season, 8 episodes",English,2016
Thunderbirds Are Go,Science fiction,ITV,United Kingdom,United States,"2 seasons, 52 episodes",English,2015-20
