Title,Genre,Language,Previous channel(s),Seasons,Premiere,Prime Video exclusive region
The Kids in the Hall (season 6)[117],Sketch comedy,English,HBOCBSCBC Television,"1 season, 8 episodes",TBA,Worldwide
Flack (season 2)[118],Dark comedy,English,Pop,"1 season, 6 episodes",TBA,United States and Canada
