"","Title","Genre","Premiere","Episodes","Seasons","Min_Time","Max_Time","Language","Status","Service","Format","Origin","Network","Region"
"1","Stranger Things","Science-Fiction / Horror / Drama",2016-07-15,25,3,42,78,NA,"Renewed","Netflix","Series","Original",NA,NA
"2","The Crown","Historical / Drama",2016-11-04,40,4,47,61,NA,"Renewed","Netflix","Series","Original",NA,NA
"3","Ozark","Crime / Drama",2017-07-21,30,3,52,80,NA,"Renewed","Netflix","Series","Original",NA,NA
"4","Lost in Space","Science-Fiction / Drama",2018-04-13,20,2,39,66,NA,"Renewed","Netflix","Series","Original",NA,NA
"5","Chilling Adventures of Sabrina","Supernatural / Horror / Drama",2018-10-26,28,3,50,64,NA,"Awaiting release","Netflix","Series","Original",NA,NA
"6","Narcos: Mexico","Crime / Drama",2018-11-16,20,2,45,70,NA,"Renewed","Netflix","Series","Original",NA,NA
"7","The Umbrella Academy","Superhero / Action / Drama",2019-02-15,20,2,40,60,NA,"Renewed","Netflix","Series","Original",NA,NA
"8","Black Summer","Zombie / Drama",2019-04-11,8,1,21,45,NA,"Renewed","Netflix","Series","Original",NA,NA
"9","Another Life","Science-Fiction / Drama",2019-07-25,10,1,37,61,NA,"Renewed","Netflix","Series","Original",NA,NA
"10","Criminal: UK","Police / Anthology / Drama",2019-09-20,7,2,41,47,NA,"Pending","Netflix","Series","Original",NA,NA
"11","Raising Dion","Superhero / Science-Fiction / Drama",2019-10-04,9,1,39,51,NA,"Renewed","Netflix","Series","Original",NA,NA
"12","Virgin River","Romantic / Drama",2019-12-06,20,2,40,49,NA,"Pending","Netflix","Series","Original",NA,NA
"13","The Witcher","Fantasy / Drama",2019-12-20,8,1,47,67,NA,"Renewed","Netflix","Series","Original",NA,NA
"14","Locke & Key","Horror / Teen / Drama",2020-02-07,10,1,40,56,NA,"Renewed","Netflix","Series","Original",NA,NA
"15","The Letter for the King","Fantasy / Drama",2020-03-20,6,1,40,51,NA,"Pending","Netflix","Series","Original",NA,NA
"16","Outer Banks"," Drama",2020-04-15,10,1,46,56,NA,"Renewed","Netflix","Series","Original",NA,NA
"17","Sweet Magnolias","Romance / Drama",2020-05-19,10,1,43,52,NA,"Renewed","Netflix","Series","Original",NA,NA
"18","Blood & Water","Teen / Drama",2020-05-20,6,1,43,53,NA,"Renewed","Netflix","Series","Original",NA,NA
"19","Homemade","Anthology / Drama",2020-06-30,17,1,4,11,NA,"Pending","Netflix","Series","Original",NA,NA
"20","Warrior Nun","Fantasy / Drama",2020-07-02,10,1,37,50,NA,"Renewed","Netflix","Series","Original",NA,NA
"21","Cursed","Fantasy / Drama",2020-07-17,10,1,48,59,NA,"Pending","Netflix","Series","Original",NA,NA
"22","Young Wallander","Detective / Drama",2020-09-03,6,1,41,52,NA,"Renewed","Netflix","Series","Original",NA,NA
"23","Ratched"," Drama",2020-09-18,8,1,45,62,NA,"Renewed","Netflix","Series","Original",NA,NA
"24","The Haunting of Bly Manor","Horror / Drama",2020-10-09,9,NA,45,66,NA,"Miniseries","Netflix","Series","Original",NA,NA
"25","Social Distance","Anthology / Drama",2020-10-15,8,1,18,23,NA,"Pending","Netflix","Series","Original",NA,NA
"26","Grand Army","Teen / Drama",2020-10-16,9,1,47,72,NA,"Pending","Netflix","Series","Original",NA,NA
"27","The Queen's Gambit"," Drama",2020-10-23,7,NA,46,67,NA,"Miniseries","Netflix","Series","Original",NA,NA
"28","Dash & Lily","Romance / Drama",2020-11-10,8,1,23,27,NA,"Pending","Netflix","Series","Original",NA,NA
"29","Selena: The Series","Biopic / Drama",2020-12-04,9,1,33,41,NA,"Pending","Netflix","Series","Original",NA,NA
"30","Tiny Pretty Things","Teen / Drama",2020-12-14,10,1,NA,NA,NA,"Pending","Netflix","Series","Original",NA,NA
"31","Bridgerton","Romance / Drama",2020-12-25,8,1,NA,NA,NA,"Pending","Netflix","Series","Original",NA,NA
"32","Fate: The Winx Saga","Teen / Drama / Fantasy",2021-01-22,6,1,NA,NA,NA,"Pending","Netflix","Series","Original",NA,NA
"33","Firefly Lane"," Drama",2021-02-03,10,1,NA,NA,NA,"Pending","Netflix","Series","Original",NA,NA
"34","Grace and Frankie","Dramedy / Comedy",2015-05-08,78,6,25,35,NA,"Renewed","Netflix","Series","Original",NA,NA
"35","Dear White People","Satire / Drama / Comedy",2017-04-28,30,3,21,36,NA,"Renewed","Netflix","Series","Original",NA,NA
"36","Atypical"," Comedy",2017-08-11,28,3,26,38,NA,"Renewed","Netflix","Series","Original",NA,NA
"37","On My Block"," Comedy",2018-03-16,28,3,23,36,NA,"Pending","Netflix","Series","Original",NA,NA
"38","The Kominsky Method"," Comedy",2018-11-16,16,2,22,34,NA,"Renewed","Netflix","Series","Original",NA,NA
"39","Sex Education","Dramedy / Comedy",2019-01-11,16,2,47,59,NA,"Renewed","Netflix","Series","Original",NA,NA
"40","Russian Doll"," Comedy",2019-02-01,8,1,25,30,NA,"Renewed","Netflix","Series","Original",NA,NA
"41","After Life"," Comedy",2019-03-08,12,2,25,31,NA,"Renewed","Netflix","Series","Original",NA,NA
"42","Special"," Comedy",2019-04-12,8,1,12,17,NA,"Renewed","Netflix","Series","Original",NA,NA
"43","I Think You Should Leave with Tim Robinson","Sketch / Comedy",2019-04-23,6,1,16,18,NA,"Renewed","Netflix","Series","Original",NA,NA
"44","Bonding","Dark / Comedy",2019-04-24,7,1,13,17,NA,"Renewed","Netflix","Series","Original",NA,NA
"45","Dead to Me","Black / Dramedy / Comedy",2019-05-03,20,2,26,33,NA,"Renewed","Netflix","Series","Original",NA,NA
"46","Malibu Rescue: The Series"," Comedy",2019-06-03,8,1,22,26,NA,"Renewed","Netflix","Series","Original",NA,NA
"47","Mr. Iglesias"," Comedy",2019-06-21,21,3,25,32,NA,"Pending","Netflix","Series","Original",NA,NA
"48","Family Reunion"," Comedy",2019-07-10,19,2,25,34,NA,"Renewed","Netflix","Series","Original",NA,NA
"49","Team Kaylie","Sitcom / Comedy",2019-09-23,20,3,22,30,NA,"Pending","Netflix","Series","Original",NA,NA
"50","The Politician"," Comedy",2019-09-27,15,2,28,62,NA,"Pending","Netflix","Series","Original",NA,NA
"51","Medical Police"," Comedy",2020-01-10,10,1,21,29,NA,"Pending","Netflix","Series","Original",NA,NA
"52","The Healing Powers of Dude","Family / Comedy",2020-01-13,8,1,23,28,NA,"Pending","Netflix","Series","Original",NA,NA
"53","Gentefied","Dramedy / Comedy",2020-02-21,10,1,25,31,NA,"Renewed","Netflix","Series","Original",NA,NA
"54","The Iliza Shlesinger Sketch Show","Sketch / Comedy",2020-04-01,6,1,18,20,NA,"Pending","Netflix","Series","Original",NA,NA
"55","Brews Brothers"," Comedy",2020-04-10,8,1,26,30,NA,"Pending","Netflix","Series","Original",NA,NA
"56","#blackAF","Sitcom / Comedy",2020-04-17,8,1,32,48,NA,"Renewed","Netflix","Series","Original",NA,NA
"57","Never Have I Ever"," Comedy",2020-04-27,10,1,22,30,NA,"Renewed","Netflix","Series","Original",NA,NA
"58","Space Force"," Comedy",2020-05-29,10,1,27,36,NA,"Renewed","Netflix","Series","Original",NA,NA
"59","The Baby-Sitters Club","Dramedy / Comedy",2020-07-03,10,1,24,29,NA,"Renewed","Netflix","Series","Original",NA,NA
"60","Game On: A Comedy Crossover Event"," Comedy",2020-08-10,4,1,26,30,NA,"Pending","Netflix","Series","Original",NA,NA
"61","Julie and the Phantoms","Musical / Comedy",2020-09-10,9,1,27,38,NA,"Pending","Netflix","Series","Original",NA,NA
"62","The Duchess"," Comedy",2020-09-11,6,1,19,28,NA,"Pending","Netflix","Series","Original",NA,NA
"63","Sneakerheads"," Comedy",2020-09-25,6,1,23,25,NA,"Pending","Netflix","Series","Original",NA,NA
"64","Emily in Paris","Dramedy / Comedy",2020-10-02,10,1,24,34,NA,"Renewed","Netflix","Series","Original",NA,NA
"65","Aunty Donna's Big Ol' House of Fun"," Comedy",2020-11-11,6,1,17,23,NA,"Pending","Netflix","Series","Original",NA,NA
"66","How to Ruin Christmas: The Wedding"," Comedy",2020-12-16,NA,NA,NA,NA,NA,"Pending","Netflix","Series","Original",NA,NA
"67","Stranger Things","Science-Fiction / Horror / Drama",2016-07-15,25,3,42,78,NA,"Renewed","Netflix","Series","Original",NA,NA
"68","The Crown","Historical / Drama",2016-11-04,40,4,47,61,NA,"Renewed","Netflix","Series","Original",NA,NA
"69","Ozark","Crime / Drama",2017-07-21,30,3,52,80,NA,"Renewed","Netflix","Series","Original",NA,NA
"70","Lost in Space","Science-Fiction / Drama",2018-04-13,20,2,39,66,NA,"Renewed","Netflix","Series","Original",NA,NA
"71","Chilling Adventures of Sabrina","Supernatural / Horror / Drama",2018-10-26,28,3,50,64,NA,"Awaiting release","Netflix","Series","Original",NA,NA
"72","Narcos: Mexico","Crime / Drama",2018-11-16,20,2,45,70,NA,"Renewed","Netflix","Series","Original",NA,NA
"73","The Umbrella Academy","Superhero / Action / Drama",2019-02-15,20,2,40,60,NA,"Renewed","Netflix","Series","Original",NA,NA
"74","Black Summer","Zombie / Drama",2019-04-11,8,1,21,45,NA,"Renewed","Netflix","Series","Original",NA,NA
"75","Another Life","Science-Fiction / Drama",2019-07-25,10,1,37,61,NA,"Renewed","Netflix","Series","Original",NA,NA
"76","Criminal: UK","Police / Anthology / Drama",2019-09-20,7,2,41,47,NA,"Pending","Netflix","Series","Original",NA,NA
"77","Raising Dion","Superhero / Science-Fiction / Drama",2019-10-04,9,1,39,51,NA,"Renewed","Netflix","Series","Original",NA,NA
"78","Virgin River","Romantic / Drama",2019-12-06,20,2,40,49,NA,"Pending","Netflix","Series","Original",NA,NA
"79","The Witcher","Fantasy / Drama",2019-12-20,8,1,47,67,NA,"Renewed","Netflix","Series","Original",NA,NA
"80","Locke & Key","Horror / Teen / Drama",2020-02-07,10,1,40,56,NA,"Renewed","Netflix","Series","Original",NA,NA
"81","The Letter for the King","Fantasy / Drama",2020-03-20,6,1,40,51,NA,"Pending","Netflix","Series","Original",NA,NA
"82","Outer Banks"," Drama",2020-04-15,10,1,46,56,NA,"Renewed","Netflix","Series","Original",NA,NA
"83","Sweet Magnolias","Romance / Drama",2020-05-19,10,1,43,52,NA,"Renewed","Netflix","Series","Original",NA,NA
"84","Blood & Water","Teen / Drama",2020-05-20,6,1,43,53,NA,"Renewed","Netflix","Series","Original",NA,NA
"85","Homemade","Anthology / Drama",2020-06-30,17,1,4,11,NA,"Pending","Netflix","Series","Original",NA,NA
"86","Warrior Nun","Fantasy / Drama",2020-07-02,10,1,37,50,NA,"Renewed","Netflix","Series","Original",NA,NA
"87","Cursed","Fantasy / Drama",2020-07-17,10,1,48,59,NA,"Pending","Netflix","Series","Original",NA,NA
"88","Young Wallander","Detective / Drama",2020-09-03,6,1,41,52,NA,"Renewed","Netflix","Series","Original",NA,NA
"89","Ratched"," Drama",2020-09-18,8,1,45,62,NA,"Renewed","Netflix","Series","Original",NA,NA
"90","The Haunting of Bly Manor","Horror / Drama",2020-10-09,9,NA,45,66,NA,"Miniseries","Netflix","Series","Original",NA,NA
"91","Social Distance","Anthology / Drama",2020-10-15,8,1,18,23,NA,"Pending","Netflix","Series","Original",NA,NA
"92","Grand Army","Teen / Drama",2020-10-16,9,1,47,72,NA,"Pending","Netflix","Series","Original",NA,NA
"93","The Queen's Gambit"," Drama",2020-10-23,7,NA,46,67,NA,"Miniseries","Netflix","Series","Original",NA,NA
"94","Dash & Lily","Romance / Drama",2020-11-10,8,1,23,27,NA,"Pending","Netflix","Series","Original",NA,NA
"95","Selena: The Series","Biopic / Drama",2020-12-04,9,1,33,41,NA,"Pending","Netflix","Series","Original",NA,NA
"96","Tiny Pretty Things","Teen / Drama",2020-12-14,10,1,NA,NA,NA,"Pending","Netflix","Series","Original",NA,NA
"97","Bridgerton","Romance / Drama",2020-12-25,8,1,NA,NA,NA,"Pending","Netflix","Series","Original",NA,NA
"98","Fate: The Winx Saga","Teen / Drama / Fantasy",2021-01-22,6,1,NA,NA,NA,"Pending","Netflix","Series","Original",NA,NA
"99","Firefly Lane"," Drama",2021-02-03,10,1,NA,NA,NA,"Pending","Netflix","Series","Original",NA,NA
"100","Grace and Frankie","Dramedy / Comedy",2015-05-08,78,6,25,35,NA,"Renewed","Netflix","Series","Original",NA,NA
"101","Dear White People","Satire / Drama / Comedy",2017-04-28,30,3,21,36,NA,"Renewed","Netflix","Series","Original",NA,NA
"102","Atypical"," Comedy",2017-08-11,28,3,26,38,NA,"Renewed","Netflix","Series","Original",NA,NA
"103","On My Block"," Comedy",2018-03-16,28,3,23,36,NA,"Pending","Netflix","Series","Original",NA,NA
"104","The Kominsky Method"," Comedy",2018-11-16,16,2,22,34,NA,"Renewed","Netflix","Series","Original",NA,NA
"105","Sex Education","Dramedy / Comedy",2019-01-11,16,2,47,59,NA,"Renewed","Netflix","Series","Original",NA,NA
"106","Russian Doll"," Comedy",2019-02-01,8,1,25,30,NA,"Renewed","Netflix","Series","Original",NA,NA
"107","After Life"," Comedy",2019-03-08,12,2,25,31,NA,"Renewed","Netflix","Series","Original",NA,NA
"108","Special"," Comedy",2019-04-12,8,1,12,17,NA,"Renewed","Netflix","Series","Original",NA,NA
"109","I Think You Should Leave with Tim Robinson","Sketch / Comedy",2019-04-23,6,1,16,18,NA,"Renewed","Netflix","Series","Original",NA,NA
"110","Bonding","Dark / Comedy",2019-04-24,7,1,13,17,NA,"Renewed","Netflix","Series","Original",NA,NA
"111","Dead to Me","Black / Dramedy / Comedy",2019-05-03,20,2,26,33,NA,"Renewed","Netflix","Series","Original",NA,NA
"112","Malibu Rescue: The Series"," Comedy",2019-06-03,8,1,22,26,NA,"Renewed","Netflix","Series","Original",NA,NA
"113","Mr. Iglesias"," Comedy",2019-06-21,21,3,25,32,NA,"Pending","Netflix","Series","Original",NA,NA
"114","Family Reunion"," Comedy",2019-07-10,19,2,25,34,NA,"Renewed","Netflix","Series","Original",NA,NA
"115","Team Kaylie","Sitcom / Comedy",2019-09-23,20,3,22,30,NA,"Pending","Netflix","Series","Original",NA,NA
"116","The Politician"," Comedy",2019-09-27,15,2,28,62,NA,"Pending","Netflix","Series","Original",NA,NA
"117","Medical Police"," Comedy",2020-01-10,10,1,21,29,NA,"Pending","Netflix","Series","Original",NA,NA
"118","The Healing Powers of Dude","Family / Comedy",2020-01-13,8,1,23,28,NA,"Pending","Netflix","Series","Original",NA,NA
"119","Gentefied","Dramedy / Comedy",2020-02-21,10,1,25,31,NA,"Renewed","Netflix","Series","Original",NA,NA
"120","The Iliza Shlesinger Sketch Show","Sketch / Comedy",2020-04-01,6,1,18,20,NA,"Pending","Netflix","Series","Original",NA,NA
"121","Brews Brothers"," Comedy",2020-04-10,8,1,26,30,NA,"Pending","Netflix","Series","Original",NA,NA
"122","#blackAF","Sitcom / Comedy",2020-04-17,8,1,32,48,NA,"Renewed","Netflix","Series","Original",NA,NA
"123","Never Have I Ever"," Comedy",2020-04-27,10,1,22,30,NA,"Renewed","Netflix","Series","Original",NA,NA
"124","Space Force"," Comedy",2020-05-29,10,1,27,36,NA,"Renewed","Netflix","Series","Original",NA,NA
"125","The Baby-Sitters Club","Dramedy / Comedy",2020-07-03,10,1,24,29,NA,"Renewed","Netflix","Series","Original",NA,NA
"126","Game On: A Comedy Crossover Event"," Comedy",2020-08-10,4,1,26,30,NA,"Pending","Netflix","Series","Original",NA,NA
"127","Julie and the Phantoms","Musical / Comedy",2020-09-10,9,1,27,38,NA,"Pending","Netflix","Series","Original",NA,NA
"128","The Duchess"," Comedy",2020-09-11,6,1,19,28,NA,"Pending","Netflix","Series","Original",NA,NA
"129","Sneakerheads"," Comedy",2020-09-25,6,1,23,25,NA,"Pending","Netflix","Series","Original",NA,NA
"130","Emily in Paris","Dramedy / Comedy",2020-10-02,10,1,24,34,NA,"Renewed","Netflix","Series","Original",NA,NA
"131","Aunty Donna's Big Ol' House of Fun"," Comedy",2020-11-11,6,1,17,23,NA,"Pending","Netflix","Series","Original",NA,NA
"132","How to Ruin Christmas: The Wedding"," Comedy",2020-12-16,NA,NA,NA,NA,NA,"Pending","Netflix","Series","Original",NA,NA
"133","F Is for Family","Sitcom / Adult / Animation",2015-12-18,36,4,25,29,"English","Renewed","Netflix","Series","Original",NA,NA
"134","Big Mouth","Comedy / Adult / Animation",2017-09-29,41,4,25,46,"English","Renewed","Netflix","Series","Original",NA,NA
"135","Disenchantment","Medieval / Fantasy / Comedy / Adult / Animation",2018-08-17,20,2,22,36,"English","Renewed","Netflix","Series","Original",NA,NA
"136","Paradise PD","Comedy / Adult / Animation",2018-08-31,18,2,26,30,"English","Renewed","Netflix","Series","Original",NA,NA
"137","Love, Death & Robots","Anthology / Adult / Animation",2019-03-15,18,1,6,17,"English","Renewed","Netflix","Series","Original",NA,NA
"138","Trailer Park Boys: The Animated Series","Mockumentary / Adult / Animation",2019-03-31,20,2,23,26,"English","Pending","Netflix","Series","Original",NA,NA
"139","The Midnight Gospel","Science / Fantasy / Dark / Comedy / Adult / Animation",2020-04-20,8,1,20,36,"English","Pending","Netflix","Series","Original",NA,NA
"140","The Liberator","War / Drama / Adult / Animation",2020-11-11,4,NA,45,56,"English","Miniseries","Netflix","Series","Original",NA,NA
"141","Castlevania","Dark / Fantasy / Anime",2017-07-07,22,3,22,31,"English","Renewed","Netflix","Series","Original",NA,NA
"142","B: The Beginning","Suspense / Anime",2018-03-02,12,1,25,27,"Japanese","Renewed","Netflix","Series","Original",NA,NA
"143","Aggretsuko","Comedy / Anime",2018-04-20,30,3,15,23,"Japanese","Pending","Netflix","Series","Original",NA,NA
"144","Ultraman","Science-Fiction / Anime",2019-04-01,13,1,23,25,"Japanese","Renewed","Netflix","Series","Original",NA,NA
"145","7SEEDS","Science-Fiction / Anime",2019-06-28,24,2,24,26,"Japanese","Renewed","Netflix","Series","Original",NA,NA
"146","Knights of the Zodiac: Saint Seiya","Action / Anime",2019-07-19,12,2,23,23,"Japanese","Pending","Netflix","Series","Original",NA,NA
"147","Dino Girl Gauko","Children / S / Anime",2019-11-22,39,2,9,9,"Japanese","Pending","Netflix","Series","Original",NA,NA
"148","The Disastrous Life of Saiki K.: Reawakened","Supernatural / Comedy / Anime",2019-12-30,6,1,23,23,"Japanese","Pending","Netflix","Series","Original",NA,NA
"149","Cagaster of an Insect Cage","Science-Fiction / Anime",2020-02-06,12,1,25,33,"Japanese","Pending","Netflix","Series","Original",NA,NA
"150","Ghost in the Shell: SAC_2045","Science-Fiction / Anime",2020-04-23,12,1,24,24,"Japanese","Renewed","Netflix","Series","Original",NA,NA
"151","Japan Sinks: 2020","Disaster / Anime",2020-07-09,10,1,25,32,"Japanese","Pending","Netflix","Series","Original",NA,NA
"152","Transformers: War for Cybertron Trilogy: Siege","Science-Fiction / Anime",2020-07-30,6,NA,23,24,"English","Miniseries","Netflix","Series","Original",NA,NA
"153","The Idhun Chronicles","Fantasy / Action / Anime",2020-09-10,5,1,26,26,"Spanish","NA","Netflix","Series","Original",NA,NA
"154","Dragon's Dogma","Dark / Fantasy / Adventure / Anime",2020-09-17,7,1,19,32,"English","Pending","Netflix","Series","Original",NA,NA
"155","Blood of Zeus","Fantasy / Action / Anime",2020-10-27,8,1,25,37,"English","Renewed","Netflix","Series","Original",NA,NA
"156","Transformers: War for Cybertron Trilogy: Earthrise","Science-Fiction / Anime",2020-12-30,NA,NA,NA,NA,"English","Miniseries","Netflix","Series","Original",NA,NA
"157","Word Party","Children / Family",2016-07-08,50,4,13,13,NA,"Pending","Netflix","Series","Original",NA,NA
"158","The Boss Baby: Back in Business","Children / Family",2018-04-06,49,4,24,24,NA,"Pending","Netflix","Series","Original",NA,NA
"159","The Dragon Prince","Children / Family",2018-09-14,27,3,24,33,NA,"Renewed","Netflix","Series","Original",NA,NA
"160","Hilda","Children / Family",2018-09-21,13,1,24,24,NA,"NA","Netflix","Series","Original",NA,NA
"161","Carmen Sandiego","Children / Family",2019-01-18,25,3,23,33,NA,"Renewed","Netflix","Series","Original",NA,NA
"162","YooHoo to the Rescue","Children / Family",2019-03-15,52,3,12,14,NA,"Pending","Netflix","Series","Original",NA,NA
"163","Mighty Little Bheem","Children / Family",2019-04-12,64,3,6,7,NA,"Pending","Netflix","Series","Original",NA,NA
"164","Archibald's Next Big Thing","Children / Family",2019-09-06,26,2,24,24,NA,"Pending","Netflix","Series","Original",NA,NA
"165","The Last Kids on Earth","Children / Family",2019-09-17,21,NA,23,67,NA,"Pending","Netflix","Series","Original",NA,NA
"166","Dragons: Rescue Riders","Children / Family",2019-09-27,26,2,24,24,NA,"Pending","Netflix","Series","Original",NA,NA
"167","Hello Ninja","Children / Family",2019-11-01,29,3,11,23,NA,"Pending","Netflix","Series","Original",NA,NA
"168","Green Eggs and Ham","Children / Family",2019-11-08,13,1,27,28,NA,"Renewed","Netflix","Series","Original",NA,NA
"169","Fast & Furious Spy Racers","Children / Family",2019-12-26,16,2,23,24,NA,"NA","Netflix","Series","Original",NA,NA
"170","Go! Go! Cory Carson","Children / Family",2020-01-04,14,2,7,8,NA,"NA","Netflix","Series","Original",NA,NA
"171","Glitch Techs","Children / Family",2020-02-21,19,2,23,46,NA,"Pending","Netflix","Series","Original",NA,NA
"172","Mighty Little Bheem: Festival of Colors","Children / Family",2020-03-05,3,NA,6,7,NA,"Pending","Netflix","Series","Original",NA,NA
"173","Buddi","Children / Family",2020-03-20,16,2,12,12,NA,"Pending","Netflix","Series","Original",NA,NA
"174","Spirit Riding Free: Riding Academy","Children / Family",2020-04-03,16,2,24,24,NA,"Pending","Netflix","Series","Original",NA,NA
"175","StarBeam","Children / Family",2020-04-03,16,2,11,14,NA,"Pending","Netflix","Series","Original",NA,NA
"176","Chico Bon Bon: Monkey with a Tool Belt","Children / Family",2020-05-08,38,3,14,14,NA,"Pending","Netflix","Series","Original",NA,NA
"177","True: Terrific Tales","Children / Family",2020-05-12,8,1,7,8,NA,"Pending","Netflix","Series","Original",NA,NA
"178","Rhyme Time Town","Children / Family",2020-06-19,6,1,24,24,NA,"Pending","Netflix","Series","Original",NA,NA
"179","The Epic Tales of Captain Underpants in Space","Children / Family",2020-07-10,6,NA,24,24,NA,"Miniseries","Netflix","Series","Original",NA,NA
"180","Wizards: Tales of Arcadia","Children / Family",2020-08-07,10,NA,23,24,NA,"Miniseries","Netflix","Series","Original",NA,NA
"181","Word Party Songs","Children / Family",2020-08-07,8,1,3,3,NA,"Pending","Netflix","Series","Original",NA,NA
"182","Jurassic World Camp Cretaceous","Children / Family",2020-09-18,8,1,24,24,NA,"Renewed","Netflix","Series","Original",NA,NA
"183","Mighty Express","Children / Family",2020-09-22,10,1,14,14,NA,"Pending","Netflix","Series","Original",NA,NA
"184","Trash Truck","Children / Family",2020-11-10,12,1,12,17,NA,"Pending","Netflix","Series","Original",NA,NA
"185","Rhyme Time Town Singalongs","Children / Family",2020-12-22,NA,NA,NA,NA,NA,"Pending","Netflix","Series","Original",NA,NA
"186","Gabby's Dollhouse","Children / Family",2021-01-05,NA,NA,NA,NA,NA,"Pending","Netflix","Series","Original",NA,NA
"187","The Hook Up Plan","Romantic / Comedy",2018-12-07,15,2,22,49,"French","Renewed","Netflix","Series","Original",NA,NA
"188","Family Business"," Comedy",2019-06-28,12,2,27,38,"French","Renewed","Netflix","Series","Original",NA,NA
"189","Mortel","Supernatural / Drama",2019-11-21,6,1,46,54,"French","Renewed","Netflix","Series","Original",NA,NA
"190","Vampires","Supernatural / Drama",2020-03-20,6,1,37,44,"French","Pending","Netflix","Series","Original",NA,NA
"191","Into the Night"," Science-Fiction",2020-05-01,6,1,35,40,"French","Renewed","Netflix","Series","Original",NA,NA
"192","La Révolution","Supernatural / Drama",2020-10-16,8,1,39,57,"French","Pending","Netflix","Series","Original",NA,NA
"193","Lupin"," Drama",2021-01-08,NA,NA,NA,NA,"French","Pending","Netflix","Series","Original",NA,NA
"194","How to Sell Drugs Online (Fast)","Dark / Comedy",2019-05-31,12,2,24,35,"German","Renewed","Netflix","Series","Original",NA,NA
"195","Biohackers"," Thriller",2020-08-20,6,1,40,46,"German","Renewed","Netflix","Series","Original",NA,NA
"196","The Last Word"," Dramedy",2020-09-17,6,1,30,49,"German","Pending","Netflix","Series","Original",NA,NA
"197","Barbarians","Historical / Drama",2020-10-23,6,1,41,51,"German","Renewed","Netflix","Series","Original",NA,NA
"198","Over Christmas"," Comedy",2020-11-27,3,1,44,50,"German","Miniseries","Netflix","Series","Original",NA,NA
"199","Tribes of Europa","Science / Fiction",2021-02-19,NA,NA,NA,NA,"German","Pending","Netflix","Series","Original",NA,NA
"200","Delhi Crime"," Police",2019-03-22,7,1,45,64,"Hindi","Renewed","Netflix","Series","Original",NA,NA
"201","Jamtara - Sabka Number Ayega","Crime / Drama",2020-01-10,10,1,23,49,"Hindi","Pending","Netflix","Series","Original",NA,NA
"202","Taj Mahal 1989","Romantic / Comedy",2020-02-14,7,1,31,36,"Hindi","Pending","Netflix","Series","Original",NA,NA
"203","She","Crime / Drama",2020-03-20,7,1,31,43,"Hindi","Pending","Netflix","Series","Original",NA,NA
"204","Hasmukh"," Comedy",2020-04-17,10,1,29,39,"Hindi","Pending","Netflix","Series","Original",NA,NA
"205","Betaal"," Thriller",2020-05-24,4,1,45,49,"Hindi","Pending","Netflix","Series","Original",NA,NA
"206","Masaba Masaba"," Drama",2020-08-28,6,1,25,34,"Hindi","Pending","Netflix","Series","Original",NA,NA
"207","Mismatched","Romantic / Comedy",2020-11-20,6,1,29,35,"Hindi","Pending","Netflix","Series","Original",NA,NA
"208","Bhaag Beanie Bhaag"," Comedy",2020-12-04,6,1,26,32,"Hindi","Pending","Netflix","Series","Original",NA,NA
"209","Luna Nera","Historical / Drama",2020-01-31,6,1,40,56,"Italian","Pending","Netflix","Series","Original",NA,NA
"210","Summertime","Teen / Drama",2020-04-29,8,1,34,54,"Italian","Renewed","Netflix","Series","Original",NA,NA
"211","Curon","Supernatural / Drama",2020-06-10,7,1,41,51,"Italian","Pending","Netflix","Series","Original",NA,NA
"212","The Naked Director","Period / Drama / Comedy",2019-08-08,8,1,39,54,"Japanese","Renewed","Netflix","Series","Original",NA,NA
"213","Followers"," Drama",2020-02-27,9,1,33,46,"Japanese","Pending","Netflix","Series","Original",NA,NA
"214","JU-ON: Origins"," Horror",2020-07-03,6,1,26,31,"Japanese","Pending","Netflix","Series","Original",NA,NA
"215","Alice in Borderland"," Fantasy",2020-12-10,8,1,41,52,"Japanese","Pending","Netflix","Series","Original",NA,NA
"216","Kingdom"," Fantasy",2019-01-25,12,2,36,57,"Korean","Pending","Netflix","Series","Original",NA,NA
"217","Persona","Drama / Anthology",2019-04-11,4,NA,19,27,"Korean","Renewed","Netflix","Series","Original",NA,NA
"218","Love Alarm","Romantic / Comedy",2019-08-22,8,1,42,56,"Korean","Renewed","Netflix","Series","Original",NA,NA
"219","Extracurricular","Teen / Crime / Drama",2020-04-29,10,1,44,72,"Korean","Pending","Netflix","Series","Original",NA,NA
"220","The School Nurse Files","Fantasy / Drama",2020-09-25,6,1,45,57,"Korean","Pending","Netflix","Series","Original",NA,NA
"221","Sweet Home"," Horror",2020-12-18,10,1,NA,NA,"Korean","Pending","Netflix","Series","Original",NA,NA
"222","The Ghost Bride","Mystery / Drama",2020-01-23,6,1,48,57,"Mandarin","Pending","Netflix","Series","Original",NA,NA
"223","The Victims' Game"," Thriller",2020-04-30,8,1,62,67,"Mandarin","Renewed","Netflix","Series","Original",NA,NA
"224","Home for Christmas","Comedy / Drama",2019-12-05,6,1,27,32,"Norwegian","NA","Netflix","Series","Original",NA,NA
"225","Ragnarok","Fantasy / Superhero / Drama",2020-01-31,6,1,40,48,"Norwegian","Renewed","Netflix","Series","Original",NA,NA
