"","Title","Genre","Premiere","Episodes","Seasons","Min_Time","Max_Time","Language","Status","Service","Format","Origin","Network","Region"
"2541","Arthdal Chronicles"," Fantasy",NA,18,1,NA,NA,"Korean","Distribution","Netflix","Film","Original","TVN","South Korea"
"2542","Bad Guys: Vile City"," Police",NA,16,1,NA,NA,"Korean","Distribution","Netflix","Film","Original","OCN","South Korea"
"2543","Black"," Thriller",NA,18,1,NA,NA,"Korean","Distribution","Netflix","Film","Original","OCN","South Korea"
"2544","Chief of Staff","Political / Drama",NA,20,2,NA,NA,"Korean","Distribution","Netflix","Film","Original","JTBC","South Korea"
"2545","Chocolate"," Drama",NA,16,1,NA,NA,"Korean","Distribution","Netflix","Film","Original","JTBC","South Korea"
"2546","Crash Landing on You","Romantic / Comedy",NA,16,1,NA,NA,"Korean","Distribution","Netflix","Film","Original","TVN","South Korea"
"2547","Do Do Sol Sol La La Sol","Romantic / Comedy",NA,16,1,NA,NA,"Korean","Distribution","Netflix","Film","Original","KBS2","South Korea"
"2548","Hi Bye, Mama!"," Fantasy",NA,16,1,NA,NA,"Korean","Distribution","Netflix","Film","Original","TVN","South Korea"
"2549","Hospital Playlist"," Drama",NA,12,1,NA,NA,"Korean","Distribution","Netflix","Film","Original","TVN","South Korea"
"2550","Hyena"," Drama",NA,16,1,NA,NA,"Korean","Distribution","Netflix","Film","Original","SBS","South Korea"
"2551","It's Okay to Not Be Okay","Romance / Drama",NA,16,1,NA,NA,"Korean","Distribution","Netflix","Film","Original","TVN","South Korea"
"2552","Itaewon Class"," Drama",NA,16,1,NA,NA,"Korean","Distribution","Netflix","Film","Original","JTBC","South Korea"
"2553","Life"," Drama",NA,16,1,NA,NA,"Korean","Distribution","Netflix","Film","Original","JTBC","South Korea"
"2554","Live"," Police",NA,18,1,NA,NA,"Korean","Distribution","Netflix","Film","Original","TVN","South Korea"
"2555","Lovestruck in the City","Romantic / Comedy",NA,12,1,NA,NA,"Korean","Distribution","Netflix","Film","Original","Kakao","South Korea"
"2556","Man to Man","Action / Drama",NA,16,1,NA,NA,"Korean","Distribution","Netflix","Film","Original","JTBC","South Korea"
"2557","Memories of the Alhambra"," Fantasy",NA,16,1,NA,NA,"Korean","Distribution","Netflix","Film","Original","TvN","South Korea"
"2558","Mr. Sunshine","Period / Drama",NA,24,1,NA,NA,"Korean","Distribution","Netflix","Film","Original","TVN","South Korea"
"2559","My Country: The New Age","Period / Drama",NA,20,1,NA,NA,"Korean","Distribution","Netflix","Film","Original","JTBC","South Korea"
"2560","My Runway","Romance / Drama",NA,6,1,NA,NA,"Korean","Distribution","Netflix","Film","Original","TVN","South Korea"
"2561","Mystic Pop-up Bar","Fantasy / Drama",NA,12,1,NA,NA,"Korean","Distribution","Netflix","Film","Original","JTBC","South Korea"
"2562","One Spring Night","Romance / Drama",NA,16,1,NA,NA,"Korean","Distribution","Netflix","Film","Original","MBC","South Korea"
"2563","Possessed"," Thriller",NA,16,1,NA,NA,"Korean","Distribution","Netflix","Film","Original","OCN","South Korea"
"2564","Prison Playbook"," Comedy",NA,16,1,NA,NA,"Korean","Distribution","Netflix","Film","Original","TVN","South Korea"
"2565","Private Lives"," Drama",NA,16,1,NA,NA,"Korean","Distribution","Netflix","Film","Original","JTBC","South Korea"
"2566","Record of Youth"," Drama",NA,16,1,NA,NA,"Korean","Distribution","Netflix","Film","Original","TVN","South Korea"
"2567","Romance Is a Bonus Book","Romantic / Comedy",NA,16,1,NA,NA,"Korean","Distribution","Netflix","Film","Original","TVN","South Korea"
"2568","Rookie Historian Goo Hae-ryung","Period / Drama",NA,20,1,NA,NA,"Korean","Distribution","Netflix","Film","Original","MBC","South Korea"
"2569","Rugal"," Police",NA,16,1,NA,NA,"Korean","Distribution","Netflix","Film","Original","OCN","South Korea"
"2570","Run On","Romance / Drama",NA,16,1,NA,NA,"Korean","Distribution","Netflix","Film","Original","JTBC","South Korea"
