International title,Genre,Original network,Original region,Netflix exclusive regions,Seasons,Original run,Language
Bitter Daisies,Police procedural,TVG & CTV,Spain,Selected territories,"1 season, 6 episodes",2019–,Galician
Case,Crime drama,Stöð 2,Iceland,Selected territories,"1 season, 9 episodes",2015,Icelandic
The Paper,Crime drama,HRT,Croatia,Selected territories,"2 seasons, 23 episodes",2016–,Croatian
Undercover,Crime drama,BNT 1,Bulgaria,France,"4 seasons, 48 episodes",2011–16,Bulgarian
When Heroes Fly,Thriller,Keshet 12,Israel,Selected territories,"1 season, 10 episodes",2018–,Hebrew
