International title,Genre,Original network,Original region,Netflix exclusive regions,Seasons,Original run
13 Commandments,Crime drama,VTM,Belgium,Selected territories,"1 season, 13 episodes",2017
Hotel Beau Séjour,Mystery drama,Eén,Belgium,Selected territories,"1 season, 10 episodes",2017-
Soil,Drama,VIER,Belgium,"Worldwide except Belgium, Germany, Austria and Switzerland","1 season, 8 episodes",TBA
Tabula Rasa,Psychological thriller,Eén,Belgium,Selected territories,"1 season, 9 episodes",2017
The Twelve,Drama,Eén,Belgium,Selected territories,"1 season, 10 episodes",2019
Thieves of the Wood,Historical drama,VTM,Belgium,Selected territories,"1 season, 10 episodes",2019
Toon,Comedy-drama,KPN,The Netherlands,Selected territories,"2 seasons, 16 episodes",2016-17
