International title,Genre,Original network,Original region,Netflix exclusive regions,Seasons,Original run
Borderliner,Police procedural,TV 2,Norway,All other markets,"1 season, 8 episodes",2017
Nobel,War drama thriller,NRK,Norway,Selected territories,"1 season, 8 episodes",2016
Norseman,Comedy,NRK,Norway,Worldwide,"3 seasons, 18 episodes",2016-
Occupied,Political thriller,TV 2,Norway,Selected territories,"3 seasons, 24 episodes",2015-
