International title,Genre,Original network,Original region,Netflix exclusive regions,Seasons,Original run
Herrens Veje,Drama,DR1,Denmark,Selected territories,"2 seasons, 20 episodes",2017–18
Hjørdis,Comedy-drama,TV 2,Denmark,Selected territories,"1 season, 4 episodes",2015
Rita,Comedy-drama,TV 2,Denmark,All other markets[88],"5 seasons, 40 episodes",2012–20
Warrior,Crime drama,TV 2,Denmark,Selected territories,"1 season, 6 episodes",2018
