International title,Genre,Original network,Original region,Netflix exclusive regions,Seasons,Original run
Better Than Us,Drama/science fiction,Channel One,Russia,All other markets,"1 season, 16 episodes",2018
To the Lake,Science fiction,Premier,Russia,Selected territories,"1 season, 8 episodes",2019
