International title,Genre,Original network,Original region,Netflix exclusive regions,Seasons,Original run
Carlo & Malik,Police procedural,Rai 1,Italy,Selected territories[104],"1 season, 12 episodes",2018–
The Trial,Crime drama,Canale 5,Italy,Selected territories,"1 season, 8 episodes",2019
