International title,Genre,Original network,Original region,Netflix exclusive regions,Seasons,Original run
Immortals,Drama,BluTV,Turkey,Selected territories,"1 season, 8 episodes",2018
The Yard,Drama,puhutv,Turkey,Selected territories,"2 seasons, 44 episodes",2018–
Wolf,Drama,Star TV,Turkey,Selected territories,"1 season, 6 episodes",2018
