International title,Genre,Original network,Original region,Netflix exclusive regions,Seasons,Original run
Bordertown,Crime drama,Yle TV1,Finland,Selected territories,"3 seasons, 31 episodes",2016–
Deadwind,Crime drama,Yle TV2,Finland,Selected territories,"2 seasons, 20 episodes",2018–
