International title,Genre,Original network,Original region,Netflix exclusive regions,Seasons,Original run
A Korean Odyssey,Drama,TVN,South Korea,All other markets,"1 season, 20 episodes",2017–18
A Love So Beautiful,Romantic comedy,Kakao,South Korea,Selected territories,"1 season, 24 episodes",2020–21
Abyss,Fantasy drama,TVN,South Korea,All other markets,"1 season, 16 episodes",2019
Argon,Drama,TVN,South Korea,Selected territories,"1 season, 8 episodes",2017
Arthdal Chronicles,Fantasy,TVN,South Korea,Selected territories,"1 season, 18 episodes",2019
Bad Guys: Vile City,Police procedural,OCN,South Korea,Selected territories,"1 season, 16 episodes",2018
Black,Thriller,OCN,South Korea,Selected territories,"1 season, 18 episodes",2017
Chief of Staff,Political drama,JTBC,South Korea,Selected territories,"2 seasons, 20 episodes",2019
Chocolate,Drama,JTBC,South Korea,Selected territories,"1 season, 16 episodes",2019–20
Crash Landing on You,Romantic comedy,TVN,South Korea,All other markets,"1 season, 16 episodes",2019–20
Do Do Sol Sol La La Sol,Romantic comedy,KBS2,South Korea,Selected territories,"1 season, 16 episodes",2020
"Hi Bye, Mama!",Fantasy,TVN,South Korea,Selected territories,"1 season, 16 episodes",2020
Hospital Playlist,Drama,TVN,South Korea,Selected territories,"1 season, 12 episodes",2020
Hyena,Drama,SBS,South Korea,Selected territories,"1 season, 16 episodes",2020
It's Okay to Not Be Okay,Romance drama,TVN,South Korea,All other markets,"1 season, 16 episodes",2020
Itaewon Class,Drama,JTBC,South Korea,Selected territories,"1 season, 16 episodes",2020
Life,Drama,JTBC,South Korea,Selected territories,"1 season, 16 episodes",2018
Live,Police procedural,TVN,South Korea,Selected territories,"1 season, 18 episodes",2018
Lovestruck in the City,Romantic comedy,Kakao,South Korea,Selected territories,"1 season, 12 episodes",2020–21
Man to Man,Action drama,JTBC,South Korea,All other markets,"1 season, 16 episodes",2017
Memories of the Alhambra,Fantasy,TvN,South Korea,All other markets,"1 season, 16 episodes",2018–19
Mr. Sunshine,Period drama,TVN,South Korea,All other markets,"1 season, 24 episodes",2018
My Country: The New Age,Period drama,JTBC,South Korea,All other markets except China and Japan,"1 season, 20 episodes",2019
My Runway,Romance drama,TVN,South Korea,Selected territories,"1 season, 6 episodes",2016
Mystic Pop-up Bar,Fantasy drama,JTBC,South Korea,Selected territories,"1 season, 12 episodes",2020
One Spring Night,Romance drama,MBC,South Korea,All other markets,"1 season, 16 episodes",2019
Possessed,Thriller,OCN,South Korea,Selected territories,"1 season, 16 episodes",2019
Prison Playbook,Comedy,TVN,South Korea,All other markets,"1 season, 16 episodes",2017–18
Private Lives,Drama,JTBC,South Korea,Selected territories,"1 season, 16 episodes",2020
Record of Youth,Drama,TVN,South Korea,All other markets,"1 season, 16 episodes",2020
Romance Is a Bonus Book,Romantic comedy,TVN,South Korea,Selected territories,"1 season, 16 episodes",2019
Rookie Historian Goo Hae-ryung,Period drama,MBC,South Korea,All other markets,"1 season, 20 episodes",2019
Rugal,Police procedural,OCN,South Korea,Selected territories,"1 season, 16 episodes",2020
Run On,Romance drama,JTBC,South Korea,Selected territories,"1 season, 16 episodesSeason 1 ongoing",2020–21
Start-Up,Romance,TVN,South Korea,Selected territories,"1 season, 16 episodes",2020
Stranger,Thriller,TVN,South Korea,Worldwide except South Korea and China,"2 seasons, 32 episodes",2017–
The Hymn of Death,Drama,SBS,South Korea,All other markets,"1 season, 3 episodes",2018
The King: Eternal Monarch,Fantasy drama,SBS,South Korea,All other markets,"1 season, 16 episodes",2020
The Lies Within,Political drama,OCN,South Korea,Selected territories,"1 season, 16 episodes",2019
The Sound of Your Heart,Sitcom,Naver TV Cast/KBS2,South Korea,All other markets,"1 season, 10 episodes",2016
The Sound of Your Heart: Reboot,Sitcom,Naver TV Cast/KBS2,South Korea,Selected territories,"2 seasons, 20 episodes",2018
The Uncanny Counter,Supernatural fiction,OCN,South Korea,Selected territories,"1 season, 16 episodes",2020–21
Vagabond,Action spy thriller,SBS TV,South Korea,All other markets,"1 season, 16 episodes",2019
When the Camellia Blooms,Romantic comedy thriller,KBS2,South Korea,All other markets,"1 season, 20 episodes",2019
White Nights,Drama,MBC,South Korea,All other markets,"1 season, 20 episodes",2016–17
Was It Love?,Drama,JTBC,South Korea,Selected territories,"1 season, 16 episodes",2020
