International title,Genre,Original network,Original region,Netflix exclusive regions,Seasons,Original run
Babylon Berlin,Drama,Sky Deutschland,Germany,US and Canada,"3 seasons, 28 episodes",2017-
Charité,Period drama,ARD,Germany,Selected territories,"1 season, 6 episodes",2017
Charité at War,Drama history,Das Erste,Germany,Selected territories,"1 season, 6 episodes",2019
NSU German History X,Historical drama,ARD,Germany,Selected territories,"1 season, 3 episodes",2016
Oktoberfest: Beer & Blood,Historical drama,ARD/Das Erste,Germany,Selected territories,6 episodes,2020
The Same Sky,Drama,ZDF,Germany,Selected territories,"1 season, 6 episodes",2016
