International title,Genre,Original network,Original region,Netflix exclusive regions,Seasons,Original run
A Love to Last,"Romantic comedy, Family drama",ABS-CBN,Philippines,Selected territories,"1 seasons, 94 episodes",2017
AMO,Crime drama,TV5,Philippines,All other markets,"1 season, 13 episodes",2018
Brothers,Action drama,ABS-CBN,Philippines,Selected territories,"1 season, 50 episodes",2015
Descendants of the Sun Philippines,"Drama, Action",GMA Network,Philippines,Selected territories,"1 season, 30 episodes",2020-
Doble Kara,Melodrama,ABS-CBN,Philippines,Selected territories,"1 season, 90 episodes",2015
Lost Hearts,"Melodrama, Romance",ABS-CBN,Philippines,Selected territories,"1 season, 85 episodes",2017
