International title,Genre,Original network,Original region,Netflix exclusive regions,Seasons,Original run
Signs,Crime drama,AXN,Poland,Selected territories,"2 seasons, 16 episodes",2018-
The Mire,Crime drama,Showmax,Poland,Selected territories,"1 season, 5 episodes",2018
Ultraviolet,Crime drama,AXN,Poland,Selected territories,"2 seasons, 22 episodes",2017-
