International title,Genre,Original network,Original region,Netflix exclusive regions,Seasons,Original run
Blood Pact,Crime drama,Space Brazil,Brazil,Selected territories,"1 season, 8 episodes",2018
Borges Importadora,Sitcom,Comedy Central Brazil,Brazil,Selected territories,"1 season, 10 episodes",2018
