International title,Genre,Original network,Original region,Netflix exclusive regions,Seasons,Original run,Language
Call Me Francis,Drama,Canale 5,Italy,40 territories outside Europe[145],"1 season, 4 episodes",2016,Italian/Spanish
Fauda,Drama/thriller,YES,Israel,All other markets except France and Latin America[146][147],"3 seasons, 36 episodes",2016–,Hebrew/Arabic
Norsemen,Comedy,NRK1,Norway,All other markets,"3 seasons, 18 episodes",2016–20,Norwegian/English
Spotless,Comedy/drama/thriller,Canal+,France,Selected territories[148],"1 season, 10 episodes",2015,French/English
