International title,Genre,Original network,Original region,Netflix exclusive regions,Seasons,Original run
Final Fantasy XIV: Dad of Light,Drama,MBS/TBS,Japan,All other markets[105],"1 season, 8 episodes",2017
My Husband Won't Fit,Drama,Fuji TV,Japan,Selected territories,"1 season, 10 episodes",2019
Scams,Crime drama,MBS,Japan,Selected territories,"1 season, 9 episodes",2019
