International title,Genre,Original network,Original region,Netflix exclusive regions,Seasons,Original run
A Very Secret Service,Espionage parody,Arte,France,All other markets[92],"2 seasons, 24 episodes",2015–18
Ad Vitam,Science fiction,Arte,France,Selected territories,"1 season, 6 episodes",2018
Black Spot,Crime drama,France 2,France,Selected territories,"2 seasons, 16 episodes",2017–19
Call My Agent!,Comedy-drama,France 2,France,Selected territories[93],"4 seasons, 24 episodes",2015–
Can You Hear Me?,Comedy-drama,Télé-Québec,Canada,Selected territories,"2 seasons, 20 episodes",2018–
Cannabis,Crime drama,Arte,France,All other markets[94],"1 season, 6 episodes",2015
Inhuman Resources,Crime drama,Arte,France,Selected territories,"1 season, 6 episodes",2020
La Mante,Crime thriller,TF1,France,All other markets[95],"1 season, 6 episodes",2017
Mythomaniac,Comedy-drama,Arte,France,Selected territories,"1 season, 6 episodes",2019
No Second Chance,Thriller,TF1,France,Selected territories[96][97],"1 season, 6 episodes",2015
The Break,Police procedural,La Une,Belgium,Selected territories[98],"2 seasons, 20 episodes",2016–18
The Chalet,Thriller,France 2,France,Selected territories,"1 season, 6 episodes",2018
The Forest,Thriller,France 3,France,All other markets,"1 season, 6 episodes",2017
The Frozen Dead,Crime drama,M6,France,Selected territories[99],"1 season, 6 episodes",2017
Twice Upon a Time,Drama,Arte,France,Selected territories,"1 season, 4 episodes",2019
Unit 42,Crime drama,RTBF,Belgium,Selected territories,"1 season, 10 episodes",2017
