International title,Genre,Original network,Original region,Netflix exclusive regions,Seasons,Original run
Humsafar,Drama,Hum TV,Pakistan,Selected territories,"1 season, 24 episodes",2011
Khaani,Drama,Geo Entertainment,Pakistan,Selected territories,"1 season, 31 episodes",2017
Sadqay Tumhare,Drama,Hum TV,Pakistan,Selected territories,"1 season, 27 episodes",2015
Zindagi Gulzar Hai,Drama,Hum TV,Pakistan,Selected territories,"1 season, 26 episodes",2012
