International title,Genre,Original network,Original region,Netflix exclusive regions,Seasons,Original run
Bonus Family,Comedy-drama,SVT,Sweden,"All other markets except Denmark, Finland, and Norway","3 seasons, 30 episodes",2017-19
Caliphate,Drama,SVT,Sweden,Selected territories,"1 season, 8 episodes",2020
