International title,Genre,Original network,Original region,Netflix exclusive regions,Seasons,Original run,Language
America's Got Talent: The Champions,Talent show,NBC,United States,UK and Ireland[158],"1 season, 7 episodes",2019–,English
American Idol,Talent show,ABC,United States,UK and Ireland[159],"1 season, 7 episodes",2019–,English
Baby Ballroom,Reality competition/dance,Channel 5,United Kingdom,Selected territories,"2 seasons, 15 episodes",2017–18,English
Back with the Ex,Reality,Seven Network,Australia,Selected territories,"1 season, 7 episodes",2018,English
Blown Away,Reality,Makeful,Canada,Selected territories,"1 season, 10 episodes",2019,English
Churchill's Secret Agents: The New Recruits,Reality,BBC Two,United Kingdom,All other markets except Ireland,"1 season, 5 episodes",2018,English
Droppin' Cash: Los Angeles,Reality,Complex,United States,Selected territories,"2 seasons, 25 episodes",2018–19,English
Glow Up,Reality,BBC Three,United Kingdom,Selected territories,"2 seasons, 16 episodes",2019–,English
Heavy Rescue: 401,Reality,Discovery Channel Canada,Canada,All other markets,"2 seasons, 19 episodes",2016–,English
Instant Hotel,Reality,Seven Network,Australia,Selected territories,"2 seasons, 18 episodes",2017–19,English
Million Pound Menu,Reality,BBC Two,United Kingdom,Selected territories,"2 seasons, 12 episodes",2018–19,English
Nadiya's Time to Eat,Cooking show,BBC Two,United Kingdom,Selected Territories,"1 season, 7 episodes",2019,English
Restaurants on the Edge,Reality,Cottage Life,Canada,Selected territories,"2 seasons, 13 episodes",2020,English
Rupaul's Drag Race (season 11),Reality competition,VH1,United States,Selected territories,"1 season, 14 episodes",2019,English
Rupaul's Drag Race: Untucked! (season 11),Reality competition,VH1,United States,Selected territories,"1 season, 12 episodes",2019,English
The Big Family Cooking Showdown,Reality competition,BBC One,United Kingdom,All other markets except Ireland,"2 seasons, 26 episodes",2017–18,English
The Great British Baking Show (seasons 4–11),Baking reality competition,BBC One/BBC Two/Channel 4,United Kingdom,Selected territories,"8 collections, 80 episodes",2010–,English
The Great British Baking Show: Holidays,Baking reality competition,Channel 4,United Kingdom,Selected territories,"3 seasons, 6 episodes",2018–,English
Tiny House Nation (season 5),Reality,A&E,United States,Selected territories,"2 volumes, 14 episodes",2019,English
Win the Wilderness,Reality,BBC Two,United Kingdom,Selected territories,"1 season, 6 episodes",2020,English
Yummy Mummies,Reality,Seven Network,Australia,Selected territories,"2 seasons, 20 episodes",2017–18,English
