International title,Genre,Original network,Original region,Netflix exclusive regions,Seasons,Original run
Answer for Heaven,Comedy,Unknown,Thailand,Selected territories,"1 season, 18 episodes",2019
Bangkok Love Stories: Hey You!,Drama,GMM Grammy,Thailand,Selected territories,"1 season, 13 episodes",2018
Bangkok Love Stories: Innocence,Drama,GMM Grammy,Thailand,Selected territories,"1 season, 13 episodes",2018
Bangkok Love Stories: Objects of Affection,Drama,GMM Grammy,Thailand,Selected territories,"1 season, 13 episodes",2019
Bangkok Love Stories: Plead,Drama,GMM Grammy,Thailand,Selected territories,"1 season, 13 episodes",2019
Girl From Nowhere,Drama,GMM 25,Thailand,Selected territories,"1 season, 13 episodes",2018
Monkey Twins,Action,GMM One,Thailand,Selected territories,"1 season, 13 episodes",2018
Oh My Ghost,Drama,True4U,Thailand,All other markets,"1 season, 16 episodes",2018
The Judgement,Drama,GMM 25,Thailand,All other markets,"1 season, 13 episodes",2018
