International title,Genre,Original network,Original region,Netflix exclusive regions,Seasons,Original run
Justice: Qalb Al Adala,Drama,OSN Ya Hala Al Oula,Dubai,Selected territories,"1 season, 18 episodes",2017
Whispers,Thriller,Unknown,Saudi Arabia,Selected territories,8 episodes,2020
