International title,Genre,Original network,Original region,Netflix exclusive regions,Seasons,Original run
If I Hadn't Met You,Fantasy,TV3,Spain,Selected territories,"1 season, 10 episodes",2018–19
Merlí,Drama,TV3,Spain,Latin America and the US[87],"3 seasons, 40 episodes",2015–18
The Hockey Girls,Comedy,TV3,Spain,Selected territories,"1 season, 13 episodes",2019
Welcome to the Family,Dark comedy,TV3,Spain,Selected territories,"1 season, 13 episodes",2018–
