Title,Genre,Premiere,Runtime,Language
Ghost Stories,Horror anthology,"January 1, 2020","2 hours, 24 min.",Hindi
A Fall from Grace,Thriller,"January 17, 2020",2 hours,English
Airplane Mode,Comedy,"January 23, 2020","1 hour, 36 min.",Portuguese
Horse Girl,Drama,"February 7, 2020","1 hour, 44 min.",English
To All the Boys: P.S. I Still Love You,Romantic comedy,"February 12, 2020","1 hour, 42 min.",English
Isi & Ossi,Romantic comedy,"February 14, 2020","1 hour, 53 min.",German
The Last Thing He Wanted,Political thriller,"February 21, 2020","1 hour, 55 min.",English
Yeh Ballet,Drama,"February 21, 2020","1 hour, 57 min.",Hindi
All the Bright Places,Romance,"February 28, 2020","1 hour, 48 min.",English
Guilty,Thriller,"March 6, 2020","1 hour, 59 min.",Hindi
Spenser Confidential,Action comedy,"March 6, 2020","1 hour, 51 min.",English
Lost Girls,Crime drama,"March 13, 2020","1 hour, 35 min.",English
Ultras,Sports film,"March 20, 2020","1 hour, 48 min.",Italian
The Occupant,Thriller,"March 25, 2020","1 hour, 43 min.",Spanish
Maska,Romantic comedy,"March 27, 2020","1 hour, 51 min.",Hindi
The Decline,Thriller,"March 27, 2020","1 hour, 23 min.",French
Uncorked,Drama,"March 27, 2020","1 hour, 43 min.",English
Coffee & Kareem,Action comedy,"April 3, 2020","1 hour, 28 min.",English
The Main Event,Comedy,"April 10, 2020","1 hour, 41 min.",English
Love Wedding Repeat,Romantic comedy,"April 10, 2020","1 hour, 40 min.",English
Tigertail,Drama,"April 10, 2020","1 hour, 31 min.",English/Taiwanese/Mandarin
Earth and Blood,Action,"April 17, 2020","1 hour, 20 min.",French
Rising High,Satire,"April 17, 2020","1 hour, 34 min.",German
Sergio,Biopic,"April 17, 2020","1 hour, 58 min.",English
The Willoughbys,Animation/Comedy/Adventure,"April 22, 2020","1 hour, 32 min.",English
Time to Hunt,Thriller,"April 23, 2020","2 hours, 14 min.",Korean
Extraction,Action,"April 24, 2020","1 hour, 57 min.",English
Dangerous Lies,Thriller,"April 30, 2020","1 hour, 37 min.",English
