Title,Genre,Premiere,Runtime,Language
A Very Murray Christmas,Comedy / Musical,"December 4, 2015",56 min.,English
Justin Timberlake + The Tennessee Kids,Concert film,"October 12, 2016","1 hour, 30 min.",English
13th: A Conversation with Oprah Winfrey & Ava DuVernay,Aftershow / Interview,"January 26, 2017",36 min.,English
"Michael Bolton's Big, Sexy Valentine's Day Special",Variety show,"February 7, 2017",54 min.,English
Rodney King,One-man show,"April 28, 2017",52 min.,English
"Barbra: The Music, The Mem'ries, The Magic",Concert film,"November 22, 2017","1 hour, 48 min.",English
Derren Brown: Sacrifice,Mentalism special,"October 19, 2018",49 min.,English
Loudon Wainwright III: Surviving Twin,One-man show,"November 13, 2018","1 hour, 31 min.",English
Angela's Christmas,Animation,"November 30, 2018",30 min.,English
Springsteen on Broadway,One-man show,"December 16, 2018","2 hours, 33 min.",English
Porta dos Fundos: The Last Hangover,Comedy,"December 21, 2018",44 min.,Portuguese
Taylor Swift: Reputation Stadium Tour,Concert film,"December 31, 2018","2 hours, 5 min.",English
Kevin Hart's Guide to Black History,Variety show,"February 8, 2019","1 hour, 3 min.",English
Still Laugh-In: The Stars Celebrate,Variety show,"May 14, 2019",1 hour,English
The Lonely Island Presents: The Unauthorized Bash Brothers Experience,Comedy / Musical,"May 23, 2019",30 min.,English
Anima,Musical / Short,"June 27, 2019",15 min.,English
"Frankenstein's Monster's Monster, Frankenstein",Mockumentary,"July 16, 2019",32 min.,English
Rocko's Modern Life: Static Cling,Animation / Comedy,"August 9, 2019",45 min.,English
Invader Zim: Enter the Florpus,Animation / Science fiction,"August 16, 2019","1 hour, 11 min.",English
American Factory: A Conversation with the Obamas,Aftershow / Interview,"August 21, 2019",10 min.,English
Sturgill Simpson Presents: Sound & Fury,Animation / Musical,"September 27, 2019",41 min.,English
The Road to El Camino: A Breaking Bad Movie,Making-of,"October 29, 2019",13 min.,English
The Irishman: In Conversation,Aftershow / Interview,"November 27, 2019",23 min.,English
Porta dos Fundos: The First Temptation of Christ,Comedy,"December 3, 2019",46 min.,Portuguese
John Mulaney & the Sack Lunch Bunch,Variety show,"December 24, 2019","1 hour, 10 min.",English
