Title,Premiere,Runtime,Language
Art of Conflict: The Murals of Northern Ireland[a],"October 12, 2012","1 hour, 13 min.",English
The Short Game,"December 12, 2013","1 hour, 39 min.",English
The Square,"January 17, 2014","1 hour, 44 min.",English/Arabic
Mitt,"January 24, 2014","1 hour, 32 min.",English
The Battered Bastards of Baseball,"July 11, 2014","1 hour, 13 min.",English
Mission Blue,"August 15, 2014","1 hour, 35 min.",English
Print the Legend,"September 26, 2014","1 hour, 40 min.",English
E-Team,"October 24, 2014","1 hour, 30 min.",English
Virunga,"November 7, 2014","1 hour, 40 min.",English
My Own Man,"March 6, 2015","1 hour, 21 min.",English
The Other One: The Long Strange Trip of Bob Weir,"May 22, 2015","1 hour, 23 min.",English
Hot Girls Wanted,"May 29, 2015","1 hour, 24 min.",English
"What Happened, Miss Simone?","June 26, 2015","1 hour, 24 min.",English
Tig,"July 17, 2015","1 hour, 20 min.",English
Keith Richards: Under the Influence,"September 18, 2015","1 hour, 21 min.",English
Winter on Fire: Ukraine's Fight for Freedom,"October 9, 2015","1 hour, 31 min.",English/Ukrainian/Russian
My Beautiful Broken Brain,"March 18, 2016","1 hour, 31 min.",English
Team Foxcatcher,"April 29, 2016","1 hour, 30 min.",English/Russian
Tony Robbins: I Am Not Your Guru,"July 15, 2016","1 hour, 56 min.",English
I'll Sleep When I'm Dead,"August 19, 2016","1 hour, 19 min.",English
Extremis,"September 13, 2016",24 min.,English
The White Helmets,"September 16, 2016",40 min.,English
Audrie & Daisy,"September 23, 2016","1 hour, 38 min.",English
Amanda Knox,"September 30, 2016","1 hour, 32 min.",English
13th,"October 7, 2016","1 hour, 40 min.",English
Sky Ladder: The Art of Cai Guo-Qiang,"October 14, 2016","1 hour, 19 min.",English/Mandarin
Into the Inferno,"October 28, 2016","1 hour, 47 min.",English
The Ivory Game,"November 4, 2016","1 hour, 52 min.",English
Casting JonBenet,"April 28, 2017","1 hour, 20 min.",English
The Mars Generation,"May 5, 2017","1 hour, 37 min.",English
Get Me Roger Stone,"May 12, 2017","1 hour, 41 min.",English
Laerte-se,"May 19, 2017","1 hour, 40 min.",Portuguese
Joshua: Teenager vs. Superpower,"May 26, 2017","1 hour, 18 min.",English
