Title,Genre,Premiere,Runtime,Language
June & Kopi,Drama,January 2021,TBA,English
Summer '96,Romance film,July 2021,TBA,Turkish
Fear Street,Horror,Mid 2021,TBA,English
Fear Street 2,Horror,Mid 2021,TBA,English
Fear Street 3,Horror,Mid 2021,TBA,English
The Kissing Booth 3,Comedy/Drama,Mid 2021,TBA,English
Back to the Outback,Animation/Comedy,Late 2021,TBA,English
Untitled Telfaz11 film,TBA,Late 2021,TBA,Arabic
A Castle for Christmas,Romantic comedy,2021,TBA,English
America: The Motion Picture,Animation/Comedy/Historical fiction,2021,TBA,English
Apollo 10½,Animation,2021,TBA,English
Arlo the Alligator Boy,Animation/Musical/Comedy,2021,TBA,English
Army of the Dead,Zombie film,2021,TBA,English
A Week Away,Musical,2021,TBA,English
Battle: Freestyle,Romantic drama,2021,TBA,Norwegian
Blonde,Biopic,2021,TBA,English
Blood Red Sky,Thriller,2021,TBA,German
Born to Be Murdered,Thriller,2021,TBA,English
Bruised,Drama,2021,"2 hours, 9 min.",English
Caught by a Wave,Romantic teenage drama,2021,TBA,Italian
Chicken Run 2,Stop motion/Comedy,2021,TBA,English
Concrete Cowboy,Drama,2021,"1 hour, 51 min.",English
Dancing Queens,Drama,2021,TBA,Swedish
Desert Dolphin,Coming-of-age/Sports/Drama,2021,TBA,Hindi/English
Diana: A New Musical,Musical,2021,TBA,English
Don't Look Up,Comedy,2021,TBA,English
Forever Rich,Action comedy,2021,TBA,Dutch
King of Boys 2,Thriller,2021,TBA,English
Loud House,Animation/Comedy,2021,TBA,English
Lulli,Science fiction/Drama,2021,TBA,Portuguese
Moxie,Drama,2021,TBA,English
Munich,Historical drama/Thriller,2021,TBA,German/English
My Father's Dragon,Animation/Adventure,2021,TBA,English
My Wife and I Bought a Ranch,Horror,2021,TBA,English
O2,Thriller,2021,TBA,French
Pinocchio,Stop motion/Fantasy/Drama/Musical,2021,TBA,English
Red Notice,Action/Comedy/Thriller,2021,TBA,English
Ride or Die,Psychological thriller/Drama,2021,TBA,Japanese
Space Sweepers,Science fiction,2021,TBA,Korean
Sweet Girl,Action,2021,TBA,English
The Divine Ponytail,Sports,2021,TBA,Italian
The Last Paradise,Romantic drama,2021,TBA,Italian
There's Someone Inside Your House,Horror,2021,TBA,English
"Tick, Tick... Boom!",Musical,2021,TBA,English
The Woman in the Window,Drama,2021,TBA,English
Untitled Noah Baumbach film,Drama,2021,TBA,English
Untitled Nora Fingscheidt project,Drama,2021,TBA,English
Untitled third The Princess Switch film,Romantic comedy,2021,TBA,English
The Power of the Dog,Drama,2021,TBA,English
Untitled Rise of the Teenage Mutant Ninja Turtles film,Animation/Action comedy,2021,TBA,English
Vinterviken 2021,Romance,2021,TBA,Swedish
We Couldn't Become Adults,Drama,2021,TBA,Japanese
Wendell and Wild,Stop motion/Fantasy/Horror comedy,2021,TBA,English
Black Crab,Thriller,2022,TBA,Swedish
Escape from Hat,Animation/Fantasy,2022,TBA,English
The Sea Beast,Animation/Adventure,2022,TBA,English
Troll,Monster,2022,TBA,Norwegian
13 Minutes,Thriller,TBA,TBA,English
13: The Musical,Musical,TBA,TBA,English
36 Questions,Fantasy,TBA,TBA,English
