Title,Genre,Premiere,Seasons,Length,Status
Chairman Says!,Game show,"September 30, 2015","1 season, 34 episodes",6-53 minutes,Ended
Beautiful Girl in Your Town,Variety,"March 18, 2016","1 season, 6 episodes",26-33 minutes,Ended
Oni-mimura,Variety,"April 28, 2016","2 seasons, 41 episodes",20-80 minutes,Ended
AKB Team8 no bunbun!,Variety,"January 27, 2017","1 season, 10 episodes",23 minutes,Ended
Q&A League,Game show,"April 26, 2019","1 season, 5 episodes",48-71 minutes,Ended
