Title,Genre,Premiere,Seasons,Length,Status
Ni-che Sensei,Comedy,"July 22, 2016","1 season, 10 episodes",24 minutes,Ended
Debusen,Comedy-drama,"August 20, 2016","1 season, 6 episodes",34-43 minutes,Ended
