Title,Genre,Premiere,Seasons,Length,Status
The Awesomes,Superhero comedy,"August 1, 2013","3 seasons, 30 episodes",22 min.,Ended[29]
Solar Opposites,Science fiction / Sitcom,"May 8, 2020","1 season, 8 episodes",22 min.,Renewed for seasons 2 and 3[30]
Crossing Swords,Medieval fantasy comedy,"June 12, 2020","1 season, 10 episodes",22 min.,Renewed[30]
