Title,Genre,Premiere,Seasons,Length,Status
The Doozers,Adventure,"April 25, 2014","2 seasons, 62 episodes",12-22 min.,Ended
The Bravest Knight,Fantasy,"June 21, 2019","1 season, 13 episodes",12 min.,Ended
Animaniacs,Comedy,"November 20, 2020","1 season, 13 episodes",24-27 min.,Renewed
