Title,Genre,Premiere,Finale,Seasons,Runtime,Notes
Sacred Games,Drama,"July 6, 2018","August 15, 2019","2 seasons, 16 episodes",43–58 min.,
Ghoul,Horror,"August 24, 2018",,3 episodes,44–50 min.,
Selection Day,Drama,"December 28, 2018","April 19, 2019","1 season, 12 episodes",19–28 min.,
Leila,Drama,"June 14, 2019","June 14, 2019","1 season, 6 episodes",40–54 min.,
Typewriter,Horror,"July 19, 2019","July 19, 2019","1 season, 5 episodes",43–52 min.,
Bard of Blood,Espionage thriller,"September 27, 2019","September 27, 2019","1 season, 7 episodes",41–50 min.,
