Title,Genre,Premiere,Finale,Seasons,Runtime
Marseille,Political drama,"May 5, 2016","February 23, 2018","2 seasons, 16 episodes",35-53 min.
Osmosis,Science fiction/drama,"March 29, 2019","March 29, 2019","1 season, 8 episodes",41-45 min.
Marianne,Horror drama,"September 13, 2019","September 13, 2019","1 season, 8 episodes",37-52 min.
Criminal: France,Police procedural anthology series,"September 20, 2019","September 20, 2019","1 season, 3 episodes",38-43 min.
