Title,Genre,Premiere,Finale,Seasons,Runtime,Language,Notes
Devilman Crybaby,Supernatural horror,"January 5, 2018",,10 episodes,24–28 min.,Japanese,
A.I.C.O. -Incarnation-,Science fiction,"March 9, 2018","March 9, 2018","1 season, 12 episodes",25–29 min.,Japanese,
Sword Gai: The Animation,Supernatural,"March 23, 2018","July 30, 2018","2 seasons, 24 episodes",22–23 min.,Japanese,
Lost Song,Musical fantasy,"March 31, 2018","June 16, 2018","1 season, 12 episodes",23–24 min.,Japanese,
Baki,Martial arts,"June 25, 2018","June 4, 2020","2 seasons, 39 episodes",24 min.,Japanese,
Hero Mask,Crime,"December 3, 2018","August 23, 2019","2 seasons, 24 episodes",25 min.,Japanese,
Rilakkuma and Kaoru,Stop motion/Slice of life,"April 19, 2019","April 19, 2019","1 season, 13 episodes",11–14 min.,Japanese,
Kengan Ashura,Martial arts,"July 31, 2019","October 31, 2019","2 parts, 24 episodes",24–27 min.,Japanese,
Cannon Busters,Fantasy,"August 15, 2019","August 15, 2019","1 season, 12 episodes",24–27 min.,Japanese,
Seis Manos,Supernatural/Action,"October 3, 2019","October 3, 2019","1 season, 8 episodes",25–28 min.,English,
Levius,Science fiction/Action,"November 28, 2019","November 28, 2019","1 season, 12 episodes",24–27 min.,Japanese,
