Title,Genre,Premiere
Agent King,Adult animated comedy,TBA
Blue Eye Samurai,Animated action,TBA
Captain Fall,Animated comedy,TBA; Renewed
Entergalactic,Adult animation,TBA
Good Times,Animated sitcom,TBA
Heaven's Forest,Animated action drama,TBA
Human Resources,Adult animated comedy,TBA
Inside Job,Adult animated comedy,TBA
Magic: The Gathering,Animated fantasy,TBA
Mulligan,Adult animated comedy,TBA
Q-Force,Adult animated comedy,TBA
The House,Animated dark comedy,TBA
