Title,Genre,Premiere
"Ada Twist, Scientist",Animation/Educational,2021
Angry Birds: Summer Madness,Animation,2021
DeadEndia,Animated horror comedy,2021
Go Dog Go,Animation,2021
I Heart Arlo,Animated musical comedy,2021
Kajko and Kokosz,Animated comedy,2021
Kid Cosmic,Animation,2021
Maya and the Three,Animated miniseries,2021
Sharkdog,Animation,2021
Ken and Kenny,Animated comedy,2022
Untitled Sonic the Hedgehog series,Animation,2022
Battle Kitty,Animation/interactive fiction,TBA
Bone,Animation,TBA
Centaurworld,Animated musical comedy,TBA
Charlie and the Chocolate Factory,Animated miniseries,TBA
City of Ghosts,Animation,TBA
Dino Daycare,Animation,TBA
Ghee Happy,Animation,TBA
He-Man and the Masters of the Universe,Animation,TBA
Karma's World,Animation,TBA
Line Friends,Animation,TBA
Listen to Your Vegetables & Eat Your Parents,Animation,TBA
Mama K's Team 4,Animation,TBA
My Dad the Bounty Hunter,Animation/Comedy,TBA
Oggy Oggy,Animation,TBA
ONI,Hybrid CGI animation/Stop motion,TBA
Raise the Bar,Animation,TBA
Ridley Jones,Animation,TBA
Samurai Rabbit: The Usagi Chronicles,Animation/Action adventure,TBA
Spirit Rangers,Animation/Fantasy,TBA
The Cuphead Show!,Animation,TBA
Untitled animated miniseries about the Oompa-Loompas,Animated miniseries,TBA
Untitled animated series from Chris Garbutt and Rikke Asbjoern,Animation,TBA
Untitled Ryan Quincy animated series,Animation,TBA
Untitled SpongeBob SquarePants spin-off series,Musical animation,TBA
Wonderoos,Animation,TBA
