Title,Genre,Premiere,Finale,Seasons,Runtime
Nowhere Man,Thriller,"October 31, 2019","October 31, 2019","1 season, 8 episodes",33-67 min.
Triad Princess,Crime drama/romance,"December 6, 2019","December 6, 2019","1 season, 6 episodes",35-47 min.
