Title,Genre,Premiere,Finale,Seasons,Runtime
Bad Samaritans,Comedy,"March 31, 2013","March 31, 2013","1 season, 5 episodes",30 min.
Richie Rich,Sitcom,"February 20, 2015","May 22, 2015","2 seasons, 21 episodes",21-23 min.
Unbreakable Kimmy Schmidt,Comedy,"March 6, 2015","May 12, 2020","4 seasons, 52 episodes",23-53 min.
Project Mc2,Comedy,"August 7, 2015","November 7, 2017","6 parts, 26 episodes",22-34 min.
Master of None,Comedy,"November 6, 2015","May 12, 2017","2 seasons, 20 episodes",21-57 min.
W/ Bob & David,Sketch comedy,"November 13, 2015","November 13, 2015","1 season, 5 episodes",27-33 min.
Love,Romantic comedy,"February 19, 2016","March 9, 2018","3 seasons, 34 episodes",24-40 min.
Fuller House,Sitcom,"February 26, 2016","June 2, 2020","5 seasons, 75 episodes",24-36 min.
Flaked,Comedy,"March 11, 2016","June 2, 2017","2 seasons, 14 episodes",30-34 min.
Netflix Presents: The Characters,Sketch comedy,"March 11, 2016","March 11, 2016","1 season, 8 episodes",27-38 min.
The Ranch,Sitcom,"April 1, 2016","January 24, 2020","8 parts, 80 episodes",25-36 min.
Lady Dynamite,Comedy,"May 20, 2016","November 10, 2017","2 seasons, 20 episodes",26-36 min.
Easy,Romantic comedy anthology,"September 22, 2016","May 10, 2019","3 seasons, 25 episodes",26-52 min.
Haters Back Off,Comedy,"October 14, 2016","October 20, 2017","2 seasons, 16 episodes",24-36 min.
Trailer Park Boys Out of the Park: Europe,Mockumentary,"October 28, 2016","October 28, 2016","1 season, 8 episodes",22-30 min.
One Day at a Time,Sitcom,"January 6, 2017","February 8, 2019","3 seasons, 39 episodes",25-35 min.
Santa Clarita Diet,Comedy horror,"February 3, 2017","March 29, 2019","3 seasons, 30 episodes",26-35 min.
Mystery Science Theater 3000: The Return,Comic science fiction,"April 14, 2017","November 22, 2018","2 seasons, 20 episodes",86-94 min.
Girlboss,Comedy,"April 21, 2017","April 21, 2017","1 season, 13 episodes",24-29 min.
GLOW,Comedy,"June 23, 2017","August 9, 2019","3 seasons, 30 episodes",27-46 min.
Friends from College,Comedy,"July 14, 2017","January 11, 2019","2 seasons, 16 episodes",26-34 min.
Disjointed,Comedy,"August 25, 2017","January 12, 2018","2 parts, 20 episodes",23-32 min.
American Vandal,Mockumentary,"September 15, 2017","September 14, 2018","2 seasons, 16 episodes",26-42 min.
She's Gotta Have It,Comedy-drama,"November 23, 2017","May 24, 2019","2 seasons, 19 episodes",32-38 min.
Trailer Park Boys Out of the Park: USA,Mockumentary,"November 24, 2017","November 24, 2017","1 season, 8 episodes",23-35 min.
Everything Sucks!,Coming-of-age comedy,"February 16, 2018","February 16, 2018","1 season, 10 episodes",23-27 min.
Alexa & Katie,Sitcom,"March 23, 2018","June 13, 2020","4 seasons, 39 episodes",22-37 min.
All About the Washingtons,Comedy,"August 10, 2018","August 10, 2018","1 season, 10 episodes",22-27 min.
Insatiable,Dark comedy-drama,"August 10, 2018","October 11, 2019","2 seasons, 22 episodes",40-53 min.
The Good Cop,Police procedural comedy-drama,"September 21, 2018","September 21, 2018","1 season, 10 episodes",43-49 min.
Prince of Peoria,Sitcom,"November 16, 2018","May 20, 2019","2 parts, 16 episodes",24-28 min.
Turn Up Charlie,Comedy,"March 15, 2019","March 15, 2019","1 season, 8 episodes",25-29 min.
Huge in France,Comedy,"April 12, 2019","April 12, 2019","1 season, 8 episodes",28-34 min.
No Good Nick,Sitcom,"April 15, 2019","August 5, 2019","2 parts, 20 episodes",26-32 min.
Lunatics,Comedy,"April 19, 2019","April 19, 2019","1 season, 10 episodes",33-38 min.
It's Bruno!,Comedy,"May 17, 2019","May 17, 2019","1 season, 8 episodes",12-21 min.
Living with Yourself,Comedy-drama,"October 18, 2019","October 18, 2019","1 season, 8 episodes",22-36 min.
Daybreak,Dark comedy,"October 24, 2019","October 24, 2019","1 season, 10 episodes",39-50 min.
Merry Happy Whatever,Comedy,"November 28, 2019","November 28, 2019","1 season, 8 episodes",25-29 min.
Astronomy Club: The Sketch Show,Sketch comedy,"December 6, 2019","December 6, 2019","1 season, 6 episodes",18-24 min.
AJ and the Queen,Comedy,"January 10, 2020","January 10, 2020","1 season, 10 episodes",47-60 min.
Ashley Garcia: Genius in Love,Comedy,"February 17, 2020","December 9, 2020","3 parts, 15 episodes",26-35 min.
I Am Not Okay with This,Coming-of-age comedy,"February 26, 2020","February 26, 2020","1 season, 7 episodes",19-28 min.
The Big Show Show,Comedy,"April 6, 2020","December 9, 2020","2 parts, 9 episodes",24-28 min.
Teenage Bounty Hunters,Comedy,"August 14, 2020","August 14, 2020","1 season, 10 episodes",42-58 min.
