Title,Genre,Premiere,Finale,Seasons,Runtime
Jinn,Fantasy adventure,"June 13, 2019","June 13, 2019","1 season, 5 episodes",25-47 min.
Dollar,Thriller,"August 8, 2019","August 8, 2019","1 season, 15 episodes",39-45 min.
