Title,Genre,Premiere,Finale,Seasons,Runtime,Notes
My Only Love Song,Comedy,"June 9, 2017","June 9, 2017","1 season, 20 episodes",27–30 min.,
YG Future Strategy Office,Comedy,"October 5, 2018","October 5, 2018","1 season, 8 episodes",20–29 min.,
My First First Love,Romantic comedy,"April 18, 2019","July 26, 2019","2 seasons, 16 episodes",42–56 min.,
My Holo Love,Science fiction romance,"February 7, 2020",,12 episodes,49–57 min.,
