Title,Genre,Premiere,Finale,Seasons,Runtime,Notes
3%,Science fiction,"November 25, 2016","August 14, 2020","4 seasons, 33 episodes",36–74 min.,[91]
The Mechanism,Crime drama,"March 23, 2018","May 10, 2019","2 seasons, 16 episodes",39–55 min.,
Samantha!,Comedy,"July 6, 2018","April 19, 2019","2 seasons, 14 episodes",24–37 min.,[92]
The Chosen One,Thriller drama,"June 28, 2019","December 6, 2019","2 seasons, 12 episodes",40–54 min.,
Brotherhood,Crime drama,"October 25, 2019","October 25, 2019","1 season, 8 episodes",47–57 min.,
Nobody's Looking,Comedy drama,"November 22, 2019","November 22, 2019","1 season, 8 episodes",19–30 min.,[93]
